reference,device,mean_ref_dev,diff_ref_minus_dev
127.0,123.5,125.25,3.5
111.5,122.0,116.75,-10.5
106.5,118.5,112.5,-12.0
134.0,131.0,132.5,3.0
119.0,99.5,109.25,19.5
110.5,118.0,114.25,-7.5
109.0,116.5,112.75,-7.5
105.5,117.0,111.25,-11.5
117.5,133.5,125.5,-16.0
108.0,99.0,103.5,9.0
116.5,103.0,109.75,13.5
120.0,122.5,121.25,-2.5
121.0,146.0,133.5,-25.0
105.5,152.0,128.75,-46.5
108.5,127.5,118.0,-19.0
118.5,121.0,119.75,-2.5
126.5,147.5,137.0,-21.0
118.0,110.0,114.0,8.0
127.5,126.5,127.0,1.0
133.5,131.0,132.25,2.5
