# SYS: 110
# DIA: 71
# PPM: 78

Time,Pressure
0.0,1.153
0.01,1.221
0.02,1.085
0.03,1.153
0.04,1.153
0.05,1.017
0.06,1.153
0.07,1.017
0.08,1.017
0.09,1.017
0.1,1.017
0.11,1.085
0.12,1.017
0.13,1.085
0.14,1.017
0.15,1.017
0.16,1.085
0.17,1.017
0.18,1.153
0.19,1.085
0.2,1.017
0.21,1.017
0.22,0.882
0.23,1.017
0.24,0.949
0.25,1.017
0.26,1.017
0.27,0.949
0.28,1.017
0.29,0.949
0.3,0.949
0.31,0.949
0.32,0.882
0.33,0.882
0.34,0.814
0.35,0.814
0.36,0.746
0.37,0.746
0.38,0.814
0.39,0.678
0.4,0.746
0.41,0.678
0.42,0.678
0.43,0.746
0.44,0.678
0.45,0.814
0.46,0.746
0.47,0.814
0.48,0.882
0.49,0.814
0.5,0.882
0.51,0.882
0.52,0.814
0.53,0.814
0.54,0.678
0.55,0.746
0.56,0.678
0.57,0.746
0.58,0.814
0.59,1.017
0.6,2.035
0.61,3.323
0.62,5.222
0.63,6.307
0.64,4.68
0.65,2.442
0.66,5.154
0.67,9.834
0.68,8.952
0.69,4.476
0.7,5.222
0.71,11.122
0.72,12.275
0.73,6.918
0.74,6.172
0.75,12.411
0.76,14.852
0.77,10.444
0.78,8.613
0.79,14.106
0.8,17.972
0.81,15.192
0.82,12.411
0.83,16.548
0.84,21.974
0.85,20.956
0.86,17.226
0.87,19.736
0.88,26.45
0.89,27.603
0.9,23.466
0.91,24.279
0.92,31.536
0.93,34.385
0.94,30.654
0.95,30.383
0.96,37.097
0.97,41.573
0.98,38.996
0.99,37.776
1.0,43.676
1.01,49.576
1.02,48.423
1.03,45.982
1.04,51.204
1.05,58.393
1.06,58.257
1.07,55.273
1.08,59.274
1.09,67.345
1.1,68.159
1.11,65.242
1.12,68.769
1.13,76.975
1.14,79.01
1.15,76.094
1.16,78.942
1.17,87.148
1.18,89.997
1.19,87.284
1.2,89.115
1.21,97.321
1.22,100.916
1.23,98.271
1.24,100.102
1.25,108.308
1.26,112.513
1.27,110.41
1.28,111.835
1.29,120.041
1.3,124.246
1.31,121.94
1.32,123.839
1.33,132.113
1.34,136.385
1.35,134.012
1.36,136.114
1.37,144.388
1.38,148.593
1.39,146.083
1.4,148.593
1.41,157.206
1.42,160.868
1.43,158.223
1.44,160.868
1.45,169.21
1.46,172.397
1.47,168.871
1.48,173.008
1.49,182.503
1.5,184.062
1.51,180.264
1.52,185.826
1.53,195.795
1.54,196.406
1.55,192.675
1.56,198.237
1.57,205.086
1.58,200.746
1.59,199.864
1.6,205.493
1.61,203.052
1.62,201.424
1.63,200.203
1.64,198.711
