# SYS: 106
# DIA: 66
# PPM: 56

Time,Pressure
0.0,2.035
0.01,2.17
0.02,2.102
0.03,2.102
0.04,2.102
0.05,2.102
0.06,2.102
0.07,2.035
0.08,2.102
0.09,2.17
0.1,2.102
0.11,2.17
0.12,2.035
0.13,2.102
0.14,2.17
0.15,2.102
0.16,2.102
0.17,2.102
0.18,2.102
0.19,2.102
0.2,2.035
0.21,2.102
0.22,2.102
0.23,2.102
0.24,2.102
0.25,2.102
0.26,2.102
0.27,2.035
0.28,2.102
0.29,1.967
0.3,1.899
0.31,1.899
0.32,1.763
0.33,1.763
0.34,1.628
0.35,1.56
0.36,1.56
0.37,1.424
0.38,1.492
0.39,1.356
0.4,1.356
0.41,1.356
0.42,1.289
0.43,1.356
0.44,1.356
0.45,1.356
0.46,1.356
0.47,1.356
0.48,1.492
0.49,1.424
0.5,1.492
0.51,1.492
0.52,1.424
0.53,1.492
0.54,1.492
0.55,1.56
0.56,1.492
0.57,1.492
0.58,1.56
0.59,1.56
0.6,2.035
0.61,3.255
0.62,5.086
0.63,7.121
0.64,8.817
0.65,9.698
0.66,7.121
0.67,6.104
0.68,11.529
0.69,14.446
0.7,10.241
0.71,8.342
0.72,13.767
0.73,17.497
0.74,14.106
0.75,11.665
0.76,16.209
0.77,20.685
0.78,18.65
0.79,15.395
0.8,19.668
0.81,25.161
0.82,23.805
0.83,20.21
0.84,23.94
0.85,30.451
0.86,30.044
0.87,26.314
0.88,29.162
0.89,36.283
0.9,37.233
0.91,33.435
0.92,35.809
0.93,43.269
0.94,44.897
0.95,41.506
0.96,43.472
0.97,51.272
0.98,53.781
0.99,50.526
1.0,52.221
1.01,60.156
1.02,63.479
1.03,60.427
1.04,62.53
1.05,70.736
1.06,74.262
1.07,71.821
1.08,73.788
1.09,82.197
1.1,86.267
1.11,83.961
1.12,85.995
1.13,94.201
1.14,98.61
1.15,96.439
1.16,98.474
1.17,107.019
1.18,111.292
1.19,109.257
1.2,112.106
1.21,120.855
1.22,124.517
1.23,122.143
1.24,125.602
1.25,134.351
1.26,137.606
1.27,135.029
1.28,138.827
1.29,148.05
1.3,150.017
1.31,146.558
1.32,152.255
1.33,161.75
1.34,161.953
1.35,159.512
1.36,165.683
1.37,173.754
1.38,173.211
1.39,172.058
1.4,178.366
1.41,185.012
1.42,183.995
1.43,184.537
1.44,192.065
1.45,196.812
1.46,194.168
1.47,196.745
1.48,205.697
1.49,200.068
1.5,200.746
1.51,204.476
1.52,202.848
1.53,200.882
1.54,199.729
1.55,198.44
1.56,197.287
1.57,196.27
1.58,195.253
1.59,194.371
1.6,193.421
1.61,192.675
1.62,191.794
1.63,191.048
1.64,190.302
1.65,189.556
1.66,188.945
1.67,188.267
1.68,187.589
1.69,186.979
1.7,186.368
1.71,185.826
1.72,185.215
1.73,184.605
1.74,184.13
1.75,183.588
1.76,183.181
1.77,182.638
1.78,182.096
1.79,181.621
1.8,181.146
1.81,180.671
1.82,180.197
1.83,179.722
1.84,179.383
1.85,178.908
1.86,178.501
1.87,178.026
1.88,177.62
1.89,177.28
1.9,176.806
1.91,176.467
1.92,176.06
1.93,175.653
1.94,175.449
1.95,175.042
1.96,174.839
1.97,174.432
1.98,174.161
1.99,173.822
2.0,173.483
2.01,173.211
2.02,172.872
2.03,172.465
2.04,172.194
2.05,171.787
2.06,171.516
2.07,171.109
2.08,170.77
2.09,170.566
2.1,170.159
2.11,169.956
2.12,169.617
2.13,169.278
2.14,169.006
2.15,168.6
2.16,168.396
2.17,168.057
2.18,167.718
2.19,167.514
2.2,167.107
2.21,166.904
2.22,166.565
2.23,166.294
2.24,166.09
2.25,165.751
2.26,165.548
2.27,165.209
2.28,164.937
2.29,164.734
2.3,164.327
2.31,164.191
2.32,163.852
2.33,163.581
2.34,163.377
2.35,162.97
2.36,162.835
2.37,162.564
2.38,162.224
2.39,162.089
2.4,161.75
2.41,161.546
2.42,161.275
2.43,161.072
2.44,160.868
2.45,160.529
2.46,160.393
2.47,160.054
2.48,159.851
2.49,159.647
2.5,159.376
2.51,159.173
2.52,158.901
2.53,158.63
2.54,158.427
2.55,158.223
2.56,158.02
2.57,157.748
2.58,157.545
2.59,157.274
2.6,157.07
2.61,156.867
2.62,156.663
2.63,156.392
2.64,156.189
2.65,155.917
2.66,155.782
2.67,155.578
2.68,155.443
2.69,155.375
2.7,155.103
2.71,155.036
2.72,154.832
2.73,154.697
2.74,154.493
2.75,154.222
2.76,154.086
2.77,153.815
2.78,153.611
2.79,153.408
2.8,153.204
2.81,153.001
2.82,152.798
2.83,152.594
2.84,152.391
2.85,152.119
2.86,151.984
2.87,151.712
2.88,151.577
2.89,151.306
2.9,151.034
2.91,150.831
2.92,150.627
2.93,150.424
2.94,150.288
2.95,149.949
2.96,149.813
2.97,149.61
2.98,149.407
2.99,149.203
3.0,149.0
3.01,148.864
3.02,148.593
3.03,148.389
3.04,148.254
3.05,147.982
3.06,147.847
3.07,147.575
3.08,147.44
3.09,147.236
3.1,146.965
3.11,146.965
3.12,146.694
3.13,146.49
3.14,146.355
3.15,146.083
3.16,146.016
3.17,145.744
3.18,145.541
3.19,145.405
3.2,145.134
3.21,144.998
3.22,144.795
3.23,144.659
3.24,144.456
3.25,144.252
3.26,144.117
3.27,143.913
3.28,143.778
3.29,143.574
3.3,143.371
3.31,143.235
3.32,143.032
3.33,142.896
3.34,142.692
3.35,142.489
3.36,142.353
3.37,142.15
3.38,142.014
3.39,141.811
3.4,141.675
3.41,141.472
3.42,141.268
3.43,141.2
3.44,140.997
3.45,140.861
3.46,140.861
3.47,140.726
3.48,140.726
3.49,140.522
3.5,140.454
3.51,140.319
3.52,140.115
3.53,139.98
3.54,139.844
3.55,139.641
3.56,139.505
3.57,139.301
3.58,139.234
3.59,139.03
3.6,138.895
3.61,138.759
3.62,138.555
3.63,138.488
3.64,138.352
3.65,138.149
3.66,138.013
3.67,137.809
3.68,137.606
3.69,137.47
3.7,137.267
3.71,137.131
3.72,136.86
3.73,136.86
3.74,136.589
3.75,136.385
3.76,136.25
3.77,136.046
3.78,135.978
3.79,135.707
3.8,135.571
3.81,135.368
3.82,135.164
3.83,135.029
3.84,134.825
3.85,134.69
3.86,134.554
3.87,134.283
3.88,134.147
3.89,133.944
3.9,133.808
3.91,133.672
3.92,133.469
3.93,133.333
3.94,133.198
3.95,132.994
3.96,132.859
3.97,132.655
3.98,132.587
3.99,132.384
4.0,132.18
4.01,132.113
4.02,131.841
4.03,131.773
4.04,131.57
4.05,131.434
4.06,131.299
4.07,131.095
4.08,131.027
4.09,130.824
4.1,130.688
4.11,130.553
4.12,130.349
4.13,130.281
4.14,130.01
4.15,129.942
4.16,129.807
4.17,129.603
4.18,129.535
4.19,129.264
4.2,129.196
4.21,129.129
4.22,128.925
4.23,128.925
4.24,128.857
4.25,128.925
4.26,128.789
4.27,128.654
4.28,128.586
4.29,128.45
4.3,128.315
4.31,128.247
4.32,128.111
4.33,128.043
4.34,127.908
4.35,127.772
4.36,127.704
4.37,127.569
4.38,127.501
4.39,127.297
4.4,127.23
4.41,127.094
4.42,126.89
4.43,126.755
4.44,126.551
4.45,126.416
4.46,126.28
4.47,126.077
4.48,125.941
4.49,125.738
4.5,125.602
4.51,125.466
4.52,125.263
4.53,125.127
4.54,124.924
4.55,124.856
4.56,124.72
4.57,124.517
4.58,124.381
4.59,124.178
4.6,124.11
4.61,123.906
4.62,123.703
4.63,123.635
4.64,123.432
4.65,123.364
4.66,123.16
4.67,122.957
4.68,122.889
4.69,122.686
4.7,122.55
4.71,122.414
4.72,122.279
4.73,122.143
4.74,121.94
4.75,121.872
4.76,121.668
4.77,121.533
4.78,121.465
4.79,121.261
4.8,121.194
4.81,121.058
4.82,120.855
4.83,120.787
4.84,120.583
4.85,120.448
4.86,120.312
4.87,120.176
4.88,120.109
4.89,119.905
4.9,119.837
4.91,119.634
4.92,119.498
4.93,119.43
4.94,119.227
4.95,119.159
4.96,119.023
4.97,118.888
4.98,118.82
4.99,118.549
5.0,118.481
5.01,118.345
5.02,118.277
5.03,118.277
5.04,118.21
5.05,118.277
5.06,118.21
5.07,118.142
5.08,118.074
5.09,117.938
5.1,118.006
5.11,117.87
5.12,117.803
5.13,117.735
5.14,117.531
5.15,117.464
5.16,117.328
5.17,117.192
5.18,117.192
5.19,116.989
5.2,116.989
5.21,116.785
5.22,116.718
5.23,116.582
5.24,116.378
5.25,116.311
5.26,116.039
5.27,115.972
5.28,115.836
5.29,115.632
5.3,115.497
5.31,115.361
5.32,115.293
5.33,115.158
5.34,114.954
5.35,114.886
5.36,114.683
5.37,114.547
5.38,114.412
5.39,114.276
5.4,114.14
5.41,113.937
5.42,113.869
5.43,113.733
5.44,113.53
5.45,113.462
5.46,113.259
5.47,113.191
5.48,113.055
5.49,112.852
5.5,112.784
5.51,112.648
5.52,112.513
5.53,112.377
5.54,112.241
5.55,112.106
5.56,111.97
5.57,111.902
5.58,111.699
5.59,111.563
5.6,111.495
5.61,111.292
5.62,111.224
5.63,111.089
5.64,110.953
5.65,110.885
5.66,110.682
5.67,110.614
5.68,110.478
5.69,110.275
5.7,110.275
5.71,110.071
5.72,110.003
5.73,109.868
5.74,109.732
5.75,109.664
5.76,109.461
5.77,109.461
5.78,109.325
5.79,109.19
5.8,109.054
5.81,108.918
5.82,108.85
5.83,108.647
5.84,108.579
5.85,108.579
5.86,108.376
5.87,108.444
5.88,108.376
5.89,108.444
5.9,108.511
5.91,108.376
5.92,108.376
5.93,108.308
5.94,108.24
5.95,108.172
5.96,108.037
5.97,108.037
5.98,107.901
5.99,107.765
6.0,107.765
6.01,107.562
6.02,107.562
6.03,107.358
6.04,107.291
6.05,107.223
6.06,107.019
6.07,107.019
6.08,106.816
6.09,106.68
6.1,106.545
6.11,106.409
6.12,106.341
6.13,106.205
6.14,106.002
6.15,105.934
6.16,105.731
6.17,105.731
6.18,105.595
6.19,105.459
6.2,105.392
6.21,105.188
6.22,105.12
6.23,104.917
6.24,104.781
6.25,104.713
6.26,104.51
6.27,104.51
6.28,104.307
6.29,104.239
6.3,104.103
6.31,103.967
6.32,103.9
6.33,103.696
6.34,103.561
6.35,103.561
6.36,103.289
6.37,103.221
6.38,103.086
6.39,103.018
6.4,102.95
6.41,102.815
6.42,102.747
6.43,102.611
6.44,102.475
6.45,102.34
6.46,102.204
6.47,102.136
6.48,102.001
6.49,101.865
6.5,101.797
6.51,101.662
6.52,101.594
6.53,101.458
6.54,101.322
6.55,101.255
6.56,101.119
6.57,101.051
6.58,100.916
6.59,100.78
6.6,100.712
6.61,100.576
6.62,100.441
6.63,100.305
6.64,100.237
6.65,100.17
6.66,100.034
6.67,99.966
6.68,99.763
6.69,99.695
6.7,99.695
6.71,99.559
6.72,99.695
6.73,99.695
6.74,99.763
6.75,99.763
6.76,99.695
6.77,99.695
6.78,99.559
6.79,99.559
6.8,99.491
6.81,99.356
6.82,99.356
6.83,99.22
6.84,99.152
6.85,99.084
6.86,98.949
6.87,98.949
6.88,98.745
6.89,98.678
6.9,98.61
6.91,98.474
6.92,98.406
6.93,98.203
6.94,98.135
6.95,97.999
6.96,97.864
6.97,97.796
6.98,97.66
6.99,97.592
7.0,97.457
7.01,97.321
7.02,97.321
7.03,97.118
7.04,97.05
7.05,96.914
7.06,96.779
7.07,96.779
7.08,96.575
7.09,96.507
7.1,96.372
7.11,96.236
7.12,96.236
7.13,96.033
7.14,95.965
7.15,95.829
7.16,95.693
7.17,95.626
7.18,95.422
7.19,95.422
7.2,95.287
7.21,95.151
7.22,95.151
7.23,94.947
7.24,94.88
7.25,94.744
7.26,94.676
7.27,94.541
7.28,94.405
7.29,94.405
7.3,94.201
7.31,94.134
7.32,94.066
7.33,93.862
7.34,93.862
7.35,93.727
7.36,93.591
7.37,93.591
7.38,93.388
7.39,93.32
7.4,93.184
7.41,93.116
7.42,93.048
7.43,92.913
7.44,92.913
7.45,92.777
7.46,92.642
7.47,92.574
7.48,92.438
7.49,92.37
7.5,92.235
7.51,92.099
7.52,92.099
7.53,91.963
7.54,91.963
7.55,91.896
7.56,91.963
7.57,92.099
7.58,92.031
7.59,92.099
7.6,91.963
7.61,91.963
7.62,91.896
7.63,91.828
7.64,91.828
7.65,91.692
7.66,91.624
7.67,91.624
7.68,91.421
7.69,91.421
7.7,91.353
7.71,91.285
7.72,91.15
7.73,91.014
7.74,91.014
7.75,90.81
7.76,90.81
7.77,90.675
7.78,90.539
7.79,90.471
7.8,90.336
7.81,90.268
7.82,90.2
