# SYS: 134
# DIA: 85
# PPM: 64

Time,Pressure
0.0,1.085
0.01,1.153
0.02,1.153
0.03,1.153
0.04,1.153
0.05,1.085
0.06,1.153
0.07,1.153
0.08,1.153
0.09,1.085
0.1,1.085
0.11,1.153
0.12,1.085
0.13,1.153
0.14,1.085
0.15,1.153
0.16,1.153
0.17,1.085
0.18,1.153
0.19,1.085
0.2,1.085
0.21,1.153
0.22,1.085
0.23,1.153
0.24,1.153
0.25,1.153
0.26,1.153
0.27,1.153
0.28,1.085
0.29,0.949
0.3,0.814
0.31,0.746
0.32,0.61
0.33,0.543
0.34,0.475
0.35,0.475
0.36,0.407
0.37,0.407
0.38,0.407
0.39,0.339
0.4,0.407
0.41,0.339
0.42,0.339
0.43,0.339
0.44,0.271
0.45,0.339
0.46,0.271
0.47,0.339
0.48,0.339
0.49,0.339
0.5,0.407
0.51,0.339
0.52,0.475
0.53,0.407
0.54,0.407
0.55,0.475
0.56,0.475
0.57,0.475
0.58,0.475
0.59,0.543
0.6,1.153
0.61,3.798
0.62,6.85
0.63,10.309
0.64,14.242
0.65,15.463
0.66,13.293
0.67,15.056
0.68,22.041
0.69,24.347
0.7,20.075
0.71,20.617
0.72,28.484
0.73,31.4
0.74,26.924
0.75,26.924
0.76,34.791
0.77,38.115
0.78,33.774
0.79,33.774
0.8,41.641
0.81,45.575
0.82,41.777
0.83,41.099
0.84,48.491
0.85,53.238
0.86,50.187
0.87,48.694
0.88,55.476
0.89,61.105
0.9,58.189
0.91,56.358
0.92,63.208
0.93,69.515
0.94,66.802
0.95,64.768
0.96,71.685
0.97,78.06
0.98,75.348
0.99,73.652
1.0,80.773
1.01,87.284
1.02,84.91
1.03,83.079
1.04,90.132
1.05,96.711
1.06,94.201
1.07,92.913
1.08,100.305
1.09,106.545
1.1,103.628
1.11,103.086
1.12,110.614
1.13,116.107
1.14,113.394
1.15,113.123
1.16,121.329
1.17,126.212
1.18,123.499
1.19,124.788
1.2,133.333
1.21,137.403
1.22,134.012
1.23,135.978
1.24,144.795
1.25,147.779
1.26,143.845
1.27,147.304
1.28,156.731
1.29,157.138
1.3,152.662
1.31,158.427
1.32,167.65
1.33,166.768
1.34,163.242
1.35,169.278
1.36,177.145
1.37,175.314
1.38,173.347
1.39,179.858
1.4,186.3
1.41,184.062
1.42,183.791
1.43,191.319
1.44,196.066
1.45,193.421
1.46,194.371
1.47,204.273
1.48,196.202
1.49,198.508
1.5,200.0
1.51,198.101
1.52,195.727
1.53,194.235
1.54,192.675
1.55,191.251
1.56,190.098
1.57,188.878
1.58,187.792
1.59,186.775
1.6,185.758
1.61,184.876
1.62,183.859
1.63,183.113
1.64,182.299
1.65,181.553
1.66,180.807
1.67,180.061
1.68,179.383
1.69,178.705
1.7,178.026
