# SYS: 119
# DIA: 59
# PPM: 62

Time,Pressure
0.0,1.899
0.01,1.899
0.02,1.831
0.03,1.899
0.04,1.831
0.05,1.967
0.06,1.899
0.07,1.831
0.08,1.899
0.09,1.899
0.1,1.899
0.11,1.899
0.12,1.899
0.13,1.899
0.14,1.831
0.15,1.899
0.16,1.899
0.17,1.899
0.18,1.899
0.19,1.831
0.2,1.967
0.21,1.899
0.22,1.967
0.23,1.967
0.24,1.899
0.25,1.967
0.26,1.899
0.27,1.899
0.28,1.831
0.29,1.695
0.3,1.695
0.31,1.492
0.32,1.492
0.33,1.289
0.34,1.221
0.35,1.221
0.36,1.085
0.37,1.085
0.38,1.017
0.39,0.882
0.4,0.949
0.41,0.814
0.42,0.814
0.43,0.814
0.44,0.882
0.45,0.882
0.46,0.882
0.47,0.949
0.48,0.949
0.49,0.949
0.5,0.949
0.51,0.949
0.52,1.017
0.53,0.949
0.54,1.017
0.55,1.085
0.56,1.085
0.57,1.085
0.58,1.017
0.59,1.289
0.6,2.238
0.61,4.476
0.62,7.257
0.63,8.749
0.64,11.258
0.65,15.259
0.66,13.767
0.67,11.462
0.68,16.48
0.69,22.787
0.7,21.431
0.71,17.904
0.72,22.313
0.73,29.095
0.74,28.62
0.75,24.551
0.76,28.009
0.77,35.47
0.78,35.944
0.79,31.943
0.8,34.52
0.81,42.387
0.82,44.015
0.83,40.014
0.84,41.98
0.85,49.983
0.86,52.56
0.87,48.491
0.88,50.119
0.89,58.393
0.9,61.309
0.91,57.511
0.92,58.8
0.93,66.938
0.94,70.058
0.95,66.26
0.96,68.294
0.97,76.636
0.98,79.417
0.99,75.958
1.0,78.264
1.01,86.809
1.02,89.725
1.03,86.538
1.04,88.911
1.05,97.185
1.06,100.305
1.07,97.05
1.08,99.966
1.09,108.647
1.1,111.089
1.11,108.104
1.12,111.835
1.13,120.855
1.14,123.16
1.15,120.041
1.16,124.517
1.17,133.469
1.18,133.944
1.19,130.349
1.2,136.589
1.21,145.812
1.22,145.066
1.23,142.489
1.24,149.067
1.25,157.07
1.26,155.849
1.27,154.425
1.28,161.478
1.29,168.057
1.3,166.361
1.31,166.226
1.32,173.483
1.33,178.433
1.34,175.856
1.35,177.687
1.36,185.894
1.37,189.42
1.38,186.368
1.39,189.42
1.4,198.508
1.41,200.203
1.42,195.931
1.43,201.763
1.44,208.477
1.45,203.527
1.46,202.035
1.47,207.799
1.48,204.544
1.49,202.645
1.5,201.085
1.51,199.457
1.52,198.033
1.53,196.88
1.54,195.66
1.55,194.642
1.56,193.625
1.57,192.743
1.58,191.929
1.59,191.116
1.6,190.37
1.61,189.556
1.62,188.878
1.63,188.199
1.64,187.521
1.65,186.979
1.66,186.3
1.67,185.758
1.68,185.215
1.69,184.605
1.7,184.13
1.71,183.588
1.72,183.045
1.73,182.638
1.74,182.096
1.75,181.621
1.76,181.146
1.77,180.671
1.78,180.264
1.79,179.722
1.8,179.383
1.81,178.908
1.82,178.501
1.83,178.162
1.84,177.687
1.85,177.28
1.86,176.874
1.87,176.467
1.88,176.128
1.89,175.653
1.9,175.381
1.91,174.975
1.92,174.635
1.93,174.296
1.94,173.889
1.95,173.618
1.96,173.211
1.97,172.872
1.98,172.533
1.99,172.126
2.0,171.923
2.01,171.516
2.02,171.244
2.03,170.905
2.04,170.498
2.05,170.227
2.06,169.888
2.07,169.549
2.08,169.278
2.09,168.871
2.1,168.735
2.11,168.464
2.12,168.26
2.13,168.193
2.14,167.989
2.15,167.854
2.16,167.514
2.17,167.175
2.18,166.904
2.19,166.497
2.2,166.226
2.21,165.887
2.22,165.548
2.23,165.209
2.24,164.869
2.25,164.598
2.26,164.259
2.27,164.056
2.28,163.784
2.29,163.445
2.3,163.174
2.31,162.835
2.32,162.564
2.33,162.36
2.34,162.089
2.35,161.953
2.36,161.614
2.37,161.411
2.38,161.139
2.39,160.8
2.4,160.597
2.41,160.326
2.42,160.054
2.43,159.851
2.44,159.512
2.45,159.376
2.46,159.037
2.47,158.766
2.48,158.562
2.49,158.223
2.5,158.02
2.51,157.681
2.52,157.545
2.53,157.274
2.54,157.002
2.55,156.799
2.56,156.528
2.57,156.256
2.58,156.053
2.59,155.782
2.6,155.578
2.61,155.307
2.62,155.103
2.63,154.9
2.64,154.629
2.65,154.425
2.66,154.222
2.67,153.95
2.68,153.747
2.69,153.476
2.7,153.34
2.71,153.069
2.72,152.798
2.73,152.526
2.74,152.255
2.75,152.119
2.76,151.848
2.77,151.645
2.78,151.509
2.79,151.17
2.8,151.034
2.81,150.695
2.82,150.492
2.83,150.288
2.84,150.017
2.85,149.949
2.86,149.61
2.87,149.474
2.88,149.271
2.89,148.932
2.9,148.864
2.91,148.593
2.92,148.457
2.93,148.186
2.94,147.915
2.95,147.779
2.96,147.44
2.97,147.304
2.98,147.101
2.99,146.829
3.0,146.762
3.01,146.49
3.02,146.355
3.03,146.151
3.04,145.948
3.05,146.016
3.06,145.948
3.07,146.016
3.08,145.948
3.09,145.812
3.1,145.677
3.11,145.405
3.12,145.202
3.13,144.93
3.14,144.591
3.15,144.388
3.16,144.049
3.17,143.778
3.18,143.574
3.19,143.235
3.2,143.099
3.21,142.828
3.22,142.692
3.23,142.421
3.24,142.218
3.25,142.014
3.26,141.811
3.27,141.743
3.28,141.54
3.29,141.336
3.3,141.268
3.31,140.997
3.32,140.861
3.33,140.59
3.34,140.319
3.35,140.251
3.36,139.98
3.37,139.844
3.38,139.641
3.39,139.437
3.4,139.301
3.41,139.03
3.42,138.895
3.43,138.623
3.44,138.42
3.45,138.284
3.46,138.013
3.47,137.877
3.48,137.674
3.49,137.47
3.5,137.403
3.51,137.063
3.52,137.063
3.53,136.792
3.54,136.589
3.55,136.453
3.56,136.182
3.57,136.114
3.58,135.843
3.59,135.707
3.6,135.571
3.61,135.3
3.62,135.164
3.63,134.961
3.64,134.825
3.65,134.69
3.66,134.418
3.67,134.351
3.68,134.079
3.69,133.944
3.7,133.808
3.71,133.605
3.72,133.401
3.73,133.198
3.74,132.994
3.75,132.926
3.76,132.723
3.77,132.655
3.78,132.452
3.79,132.248
3.8,132.113
3.81,131.841
3.82,131.773
3.83,131.57
3.84,131.367
3.85,131.299
3.86,131.095
3.87,130.96
3.88,130.756
3.89,130.621
3.9,130.485
3.91,130.214
3.92,130.146
3.93,129.942
3.94,129.807
3.95,129.671
3.96,129.535
3.97,129.468
3.98,129.332
3.99,129.4
4.0,129.603
4.01,129.671
4.02,129.739
4.03,129.671
4.04,129.468
4.05,129.4
4.06,129.129
4.07,128.993
4.08,128.722
4.09,128.45
4.1,128.247
4.11,127.908
4.12,127.704
4.13,127.569
4.14,127.365
4.15,127.23
4.16,126.958
4.17,126.823
4.18,126.484
4.19,126.348
4.2,126.212
4.21,126.009
4.22,126.009
4.23,125.805
4.24,125.738
4.25,125.602
4.26,125.398
4.27,125.263
4.28,125.127
4.29,124.992
4.3,124.856
4.31,124.652
4.32,124.449
4.33,124.313
4.34,124.178
4.35,123.906
4.36,123.703
4.37,123.635
4.38,123.432
4.39,123.296
4.4,123.16
4.41,122.957
4.42,122.889
4.43,122.686
4.44,122.482
4.45,122.414
4.46,122.211
4.47,122.143
4.48,121.94
4.49,121.872
4.5,121.736
4.51,121.533
4.52,121.397
4.53,121.261
4.54,121.058
4.55,120.99
4.56,120.787
4.57,120.719
4.58,120.515
4.59,120.38
4.6,120.312
4.61,120.109
4.62,119.973
4.63,119.837
4.64,119.702
4.65,119.566
4.66,119.362
4.67,119.295
4.68,119.091
4.69,118.956
4.7,118.888
4.71,118.616
4.72,118.684
4.73,118.481
4.74,118.277
4.75,118.21
4.76,118.006
4.77,117.938
4.78,117.803
4.79,117.667
4.8,117.599
4.81,117.396
4.82,117.328
4.83,117.192
4.84,117.057
4.85,116.921
4.86,116.718
4.87,116.718
4.88,116.514
4.89,116.446
4.9,116.514
4.91,116.514
4.92,116.785
4.93,116.989
4.94,116.989
4.95,116.989
4.96,116.853
4.97,116.853
4.98,116.718
4.99,116.65
5.0,116.582
5.01,116.378
5.02,116.311
5.03,116.039
5.04,115.904
5.05,115.768
5.06,115.565
5.07,115.497
5.08,115.226
5.09,115.022
5.1,114.751
5.11,114.479
5.12,114.344
5.13,114.14
5.14,114.14
5.15,114.073
5.16,113.937
5.17,113.869
5.18,113.666
5.19,113.598
5.2,113.53
5.21,113.259
5.22,113.191
5.23,112.987
5.24,112.852
5.25,112.716
5.26,112.513
5.27,112.445
5.28,112.174
5.29,112.106
5.3,111.902
5.31,111.767
5.32,111.699
5.33,111.428
5.34,111.36
5.35,111.224
5.36,111.021
5.37,110.953
5.38,110.749
5.39,110.682
5.4,110.546
5.41,110.342
5.42,110.275
5.43,110.139
5.44,110.071
5.45,109.936
5.46,109.732
5.47,109.732
5.48,109.529
5.49,109.461
5.5,109.257
5.51,109.122
5.52,109.122
5.53,108.986
5.54,108.918
5.55,108.783
5.56,108.511
5.57,108.444
5.58,108.308
5.59,108.172
5.6,108.104
5.61,107.969
5.62,107.969
5.63,107.833
5.64,107.765
5.65,107.698
5.66,107.833
5.67,108.037
5.68,108.172
5.69,108.376
5.7,108.376
5.71,108.376
5.72,108.444
5.73,108.308
5.74,108.376
5.75,108.24
5.76,108.104
5.77,108.037
5.78,107.765
5.79,107.63
5.8,107.358
5.81,107.155
5.82,107.019
5.83,106.68
5.84,106.409
5.85,106.138
5.86,105.934
5.87,105.866
5.88,105.663
5.89,105.663
5.9,105.527
5.91,105.459
5.92,105.392
5.93,105.188
5.94,105.12
5.95,104.917
5.96,104.781
5.97,104.646
5.98,104.51
5.99,104.442
6.0,104.239
6.01,104.103
6.02,104.035
6.03,103.832
6.04,103.764
6.05,103.561
6.06,103.425
6.07,103.357
6.08,103.154
6.09,103.086
6.1,102.95
6.11,102.815
6.12,102.747
6.13,102.543
6.14,102.475
6.15,102.272
6.16,102.204
6.17,102.068
6.18,101.933
6.19,101.865
6.2,101.729
6.21,101.662
6.22,101.594
6.23,101.39
6.24,101.39
6.25,101.255
6.26,101.119
6.27,101.051
6.28,100.848
6.29,100.78
6.3,100.644
6.31,100.509
6.32,100.509
6.33,100.305
6.34,100.237
6.35,100.034
6.36,99.966
6.37,99.898
6.38,99.695
6.39,99.695
6.4,99.559
6.41,99.491
6.42,99.356
6.43,99.152
6.44,99.152
6.45,98.949
6.46,98.881
6.47,98.881
6.48,98.678
6.49,98.745
6.5,98.678
6.51,98.949
6.52,99.288
6.53,99.559
6.54,99.83
6.55,99.966
6.56,100.034
6.57,100.102
6.58,99.966
6.59,99.966
6.6,99.763
6.61,99.627
6.62,99.559
6.63,99.288
6.64,99.22
6.65,99.017
6.66,98.949
6.67,98.813
6.68,98.61
6.69,98.474
6.7,98.338
6.71,98.067
6.72,97.932
6.73,97.66
6.74,97.592
6.75,97.457
6.76,97.389
6.77,97.321
6.78,97.185
6.79,97.185
6.8,96.982
6.81,96.982
6.82,96.846
6.83,96.643
6.84,96.575
6.85,96.372
6.86,96.304
6.87,96.168
6.88,96.033
6.89,95.897
6.9,95.761
6.91,95.693
6.92,95.49
6.93,95.287
6.94,95.219
6.95,94.947
6.96,94.812
6.97,94.608
6.98,94.473
6.99,94.405
7.0,94.269
7.01,94.201
7.02,94.066
7.03,93.862
7.04,93.795
7.05,93.659
7.06,93.591
7.07,93.455
7.08,93.388
7.09,93.32
7.1,93.116
7.11,93.116
7.12,92.981
7.13,92.845
7.14,92.845
7.15,92.642
7.16,92.642
7.17,92.506
7.18,92.302
7.19,92.302
7.2,92.167
7.21,92.099
7.22,91.963
7.23,91.828
7.24,91.76
7.25,91.624
7.26,91.556
7.27,91.421
7.28,91.285
7.29,91.217
7.3,91.014
7.31,91.014
7.32,90.946
7.33,90.81
7.34,90.81
7.35,90.878
7.36,91.217
7.37,91.624
7.38,91.963
7.39,92.167
7.4,92.235
7.41,92.235
7.42,92.167
7.43,92.099
7.44,92.031
7.45,91.896
7.46,91.828
7.47,91.692
7.48,91.556
7.49,91.556
7.5,91.353
7.51,91.285
7.52,91.15
7.53,90.946
7.54,90.878
7.55,90.675
7.56,90.539
7.57,90.404
7.58,90.2
7.59,90.064
7.6,89.929
7.61,89.929
7.62,89.861
7.63,89.725
7.64,89.793
7.65,89.59
7.66,89.522
7.67,89.386
7.68,89.251
7.69,89.251
7.7,89.047
7.71,88.979
7.72,88.844
7.73,88.708
7.74,88.64
7.75,88.437
7.76,88.437
7.77,88.233
7.78,88.165
7.79,88.03
7.8,87.826
7.81,87.759
7.82,87.555
7.83,87.487
7.84,87.419
7.85,87.284
7.86,87.216
7.87,87.08
7.88,86.945
7.89,86.809
7.9,86.673
7.91,86.673
7.92,86.538
7.93,86.47
7.94,86.47
7.95,86.267
7.96,86.267
7.97,86.063
7.98,85.995
7.99,85.927
8.0,85.792
8.01,85.792
8.02,85.588
8.03,85.453
8.04,85.385
8.05,85.385
8.06,85.317
8.07,85.181
8.08,85.046
8.09,84.978
8.1,84.774
8.11,84.774
8.12,84.639
8.13,84.571
8.14,84.503
8.15,84.3
8.16,84.3
8.17,84.164
8.18,84.096
8.19,83.961
8.2,83.825
8.21,83.825
8.22,83.689
8.23,83.622
8.24,83.622
8.25,83.486
8.26,83.622
8.27,83.825
8.28,84.3
8.29,84.571
8.3,84.707
8.31,84.842
8.32,84.774
8.33,84.842
8.34,84.774
8.35,84.639
8.36,84.639
8.37,84.435
8.38,84.368
8.39,84.368
8.4,84.232
8.41,84.232
8.42,84.028
8.43,83.961
8.44,83.825
8.45,83.622
8.46,83.554
8.47,83.35
8.48,83.215
8.49,83.147
8.5,83.011
8.51,83.011
8.52,82.876
8.53,82.876
8.54,82.808
8.55,82.672
8.56,82.672
8.57,82.536
8.58,82.401
8.59,82.333
8.6,82.265
8.61,82.265
8.62,82.13
8.63,82.062
8.64,81.994
8.65,81.79
8.66,81.79
8.67,81.587
8.68,81.519
8.69,81.384
8.7,81.248
8.71,81.248
8.72,81.112
8.73,81.044
8.74,80.977
8.75,80.841
8.76,80.773
8.77,80.638
