# SYS: 110
# DIA: 71
# PPM: 83

Time,Pressure
0.0,0.339
0.01,0.339
0.02,0.339
0.03,0.339
0.04,0.271
0.05,0.407
0.06,0.271
0.07,0.339
0.08,0.339
0.09,0.271
0.1,0.339
0.11,0.271
0.12,0.339
0.13,0.339
0.14,0.271
0.15,0.339
0.16,0.271
0.17,0.339
0.18,0.339
0.19,0.339
0.2,0.407
0.21,0.271
0.22,0.339
0.23,0.339
0.24,0.339
0.25,0.339
0.26,0.271
0.27,0.339
0.28,0.271
0.29,0.271
0.3,0.339
0.31,0.203
0.32,0.339
0.33,0.203
0.34,0.271
0.35,0.271
0.36,0.203
0.37,0.271
0.38,0.203
0.39,0.203
0.4,0.271
0.41,0.203
0.42,0.271
0.43,0.203
0.44,0.271
0.45,0.203
0.46,0.203
0.47,0.271
0.48,0.203
0.49,0.271
0.5,0.203
0.51,0.203
0.52,0.271
0.53,0.203
0.54,0.271
0.55,0.203
0.56,0.271
0.57,0.271
0.58,0.271
0.59,0.61
0.6,1.56
0.61,3.323
0.62,4.815
0.63,6.307
0.64,7.664
0.65,5.29
0.66,3.662
0.67,8.274
0.68,12.004
0.69,8.681
0.7,6.375
0.71,11.529
0.72,15.463
0.73,11.936
0.74,9.63
0.75,14.785
0.76,18.922
0.77,15.599
0.78,13.225
0.79,18.718
0.8,22.855
0.81,19.803
0.82,17.43
0.83,22.584
0.84,27.331
0.85,24.212
0.86,22.041
0.87,27.263
0.88,32.282
0.89,29.298
0.9,27.331
0.91,33.232
0.92,37.979
0.93,34.995
0.94,33.367
0.95,39.471
0.96,44.49
0.97,41.573
0.98,40.217
0.99,46.592
1.0,51.679
1.01,49.101
1.02,47.813
1.03,54.595
1.04,59.749
1.05,57.104
1.06,56.494
1.07,63.818
1.08,68.905
1.09,65.988
1.1,66.395
1.11,74.195
1.12,77.857
1.13,74.873
1.14,76.975
1.15,85.317
1.16,88.098
1.17,84.978
1.18,88.776
1.19,97.253
1.2,98.406
1.21,95.422
1.22,101.594
1.23,110.546
1.24,109.868
1.25,108.308
1.26,115.7
1.27,123.364
1.28,122.686
1.29,122.753
1.3,130.824
1.31,136.589
1.32,134.961
1.33,137.335
1.34,145.812
1.35,149.542
1.36,146.829
1.37,150.966
1.38,160.529
1.39,161.072
1.4,158.359
1.41,165.141
1.42,172.737
1.43,171.516
1.44,172.194
1.45,180.061
1.46,184.808
1.47,182.299
1.48,185.554
1.49,195.185
1.5,196.609
1.51,193.15
1.52,199.39
1.53,203.798
1.54,201.356
1.55,200.068
1.56,204.069
1.57,202.374
1.58,201.017
1.59,199.322
1.6,197.898
1.61,196.609
1.62,195.388
1.63,194.303
1.64,193.218
1.65,192.336
1.66,191.251
1.67,190.234
1.68,189.149
1.69,188.064
1.7,187.25
1.71,186.436
1.72,185.758
1.73,185.012
1.74,184.266
1.75,183.655
1.76,182.909
1.77,182.299
1.78,181.621
1.79,180.875
1.8,180.264
1.81,179.383
1.82,178.569
1.83,177.552
1.84,176.602
1.85,175.788
1.86,174.839
1.87,174.025
1.88,173.211
1.89,172.33
1.9,171.448
1.91,170.363
1.92,169.346
1.93,168.26
1.94,167.04
1.95,166.09
1.96,164.937
1.97,163.988
1.98,163.106
1.99,162.224
2.0,161.546
2.01,160.868
2.02,160.393
2.03,159.851
2.04,159.444
2.05,159.173
2.06,158.834
2.07,158.698
2.08,158.562
2.09,158.63
2.1,158.766
2.11,158.834
2.12,158.901
2.13,158.901
2.14,158.969
2.15,159.173
2.16,159.173
2.17,159.308
2.18,159.308
2.19,159.24
2.2,159.24
2.21,159.037
2.22,158.969
2.23,158.834
2.24,158.63
2.25,158.494
2.26,158.291
2.27,158.155
2.28,157.952
2.29,157.816
2.3,157.613
2.31,157.477
2.32,157.409
2.33,157.138
2.34,157.002
2.35,156.867
2.36,156.595
2.37,156.46
2.38,156.053
2.39,155.714
2.4,155.307
2.41,154.832
2.42,154.425
2.43,153.883
2.44,153.476
2.45,153.137
2.46,152.662
2.47,152.323
2.48,151.848
2.49,151.441
2.5,151.034
2.51,150.492
2.52,150.22
2.53,149.813
2.54,149.61
2.55,149.474
2.56,149.339
2.57,149.339
2.58,149.067
2.59,148.864
2.6,148.661
2.61,148.321
2.62,148.05
2.63,147.779
2.64,147.44
2.65,147.169
2.66,146.762
2.67,146.49
2.68,146.219
2.69,145.88
2.7,145.812
2.71,145.473
2.72,145.337
2.73,145.066
2.74,144.863
2.75,144.727
2.76,144.456
2.77,144.32
2.78,144.049
2.79,143.913
2.8,143.778
2.81,143.506
2.82,143.303
2.83,143.099
2.84,142.964
2.85,142.76
2.86,142.489
2.87,142.353
2.88,142.082
2.89,141.879
2.9,141.675
2.91,141.404
2.92,141.268
2.93,140.997
2.94,140.861
2.95,140.658
2.96,140.387
2.97,140.251
2.98,139.98
2.99,139.844
3.0,139.641
3.01,139.369
3.02,139.301
3.03,139.098
3.04,138.895
3.05,138.691
3.06,138.488
3.07,138.352
3.08,138.149
3.09,137.945
3.1,137.742
3.11,137.538
3.12,137.403
3.13,137.131
3.14,136.996
3.15,136.792
3.16,136.589
3.17,136.453
3.18,136.25
3.19,136.046
3.2,135.91
3.21,135.639
3.22,135.571
3.23,135.3
3.24,135.232
3.25,135.029
3.26,134.758
3.27,134.622
3.28,134.418
3.29,134.215
3.3,134.079
3.31,133.876
3.32,133.74
3.33,133.537
3.34,133.401
3.35,133.198
3.36,132.994
3.37,132.859
3.38,132.655
3.39,132.519
3.4,132.316
3.41,132.18
3.42,132.316
3.43,132.384
3.44,132.587
3.45,132.519
3.46,132.316
3.47,132.18
3.48,131.977
3.49,131.773
3.5,131.57
3.51,131.231
3.52,131.095
3.53,130.756
3.54,130.553
3.55,130.214
3.56,129.942
3.57,129.671
3.58,129.4
3.59,129.196
3.6,128.993
3.61,128.789
3.62,128.722
3.63,128.518
3.64,128.383
3.65,128.315
3.66,128.111
3.67,128.043
3.68,127.772
3.69,127.636
3.7,127.501
3.71,127.297
3.72,127.23
3.73,126.958
3.74,126.89
3.75,126.687
3.76,126.484
3.77,126.28
3.78,126.009
3.79,125.941
3.8,125.738
3.81,125.534
3.82,125.466
3.83,125.127
3.84,125.059
3.85,124.856
3.86,124.72
3.87,124.652
3.88,124.381
3.89,124.246
3.9,124.042
3.91,123.906
3.92,123.771
3.93,123.567
3.94,123.499
3.95,123.296
3.96,123.16
3.97,123.025
3.98,122.753
3.99,122.753
4.0,122.55
4.01,122.414
4.02,122.279
4.03,122.075
4.04,122.007
4.05,121.736
4.06,121.601
4.07,121.465
4.08,121.261
4.09,121.194
4.1,120.99
4.11,120.855
4.12,120.719
4.13,120.515
4.14,120.38
4.15,120.244
4.16,120.041
4.17,119.973
4.18,119.769
4.19,119.702
4.2,119.43
4.21,119.362
4.22,119.227
4.23,119.023
4.24,118.956
4.25,118.888
4.26,118.956
4.27,119.227
4.28,119.295
4.29,119.295
4.3,119.091
4.31,118.956
4.32,118.888
4.33,118.684
4.34,118.481
4.35,118.277
4.36,118.142
4.37,118.006
4.38,117.667
4.39,117.531
4.4,117.328
4.41,117.124
4.42,116.989
4.43,116.718
4.44,116.582
4.45,116.311
4.46,116.175
4.47,116.039
4.48,115.836
4.49,115.836
4.5,115.632
4.51,115.632
4.52,115.497
4.53,115.293
4.54,115.226
4.55,115.022
4.56,114.886
4.57,114.751
4.58,114.547
4.59,114.479
4.6,114.276
4.61,114.14
4.62,113.937
4.63,113.733
4.64,113.666
