# SYS: 109
# DIA: 69
# PPM: 53

Time,Pressure
0.0,4.612
0.01,4.612
0.02,4.544
0.03,4.612
0.04,4.544
0.05,4.544
0.06,4.544
0.07,4.544
0.08,4.612
0.09,4.544
0.1,4.544
0.11,4.544
0.12,4.544
0.13,4.612
0.14,4.544
0.15,4.612
0.16,4.544
0.17,4.612
0.18,4.612
0.19,4.476
0.2,4.612
0.21,4.544
0.22,4.544
0.23,4.612
0.24,4.544
0.25,4.612
0.26,4.544
0.27,4.476
0.28,4.273
0.29,4.137
0.3,4.001
0.31,3.73
0.32,3.527
0.33,3.391
0.34,3.12
0.35,3.052
0.36,2.916
0.37,2.848
0.38,2.713
0.39,2.645
0.4,2.645
0.41,2.577
0.42,2.577
0.43,2.509
0.44,2.509
0.45,2.645
0.46,2.509
0.47,2.645
0.48,2.645
0.49,2.645
0.5,2.713
0.51,2.713
0.52,2.781
0.53,2.713
0.54,2.781
0.55,2.848
0.56,2.713
0.57,2.848
0.58,2.781
0.59,3.052
0.6,3.73
0.61,5.561
0.62,7.867
0.63,9.834
0.64,12.343
0.65,14.378
0.66,12.411
0.67,11.394
0.68,16.48
0.69,21.024
0.7,18.583
0.71,16.277
0.72,21.295
0.73,26.45
0.74,24.958
0.75,21.702
0.76,25.771
0.77,32.214
0.78,31.604
0.79,28.009
0.8,31.061
0.81,38.318
0.82,39.2
0.83,35.131
0.84,37.572
0.85,44.897
0.86,46.592
0.87,42.726
0.88,43.879
0.89,51.407
0.9,54.323
0.91,50.593
0.92,51.068
0.93,58.664
0.94,62.258
0.95,59.003
0.96,59.207
0.97,66.395
0.98,71.211
0.99,68.905
1.0,68.159
1.01,75.212
1.02,80.705
1.03,78.671
1.04,77.925
1.05,84.842
1.06,91.285
1.07,89.793
1.08,88.572
1.09,95.558
1.1,102.204
1.11,101.051
1.12,99.83
1.13,106.748
1.14,113.666
1.15,112.648
1.16,111.563
1.17,118.277
1.18,125.398
1.19,124.381
1.2,123.296
1.21,130.214
1.22,137.267
1.23,136.385
1.24,135.436
1.25,141.946
1.26,148.593
1.27,147.711
1.28,147.372
1.29,154.357
1.3,160.732
1.31,159.58
1.32,159.715
1.33,167.107
1.34,172.465
1.35,171.109
1.36,172.194
1.37,179.79
1.38,184.401
1.39,182.299
1.4,184.401
1.41,192.472
1.42,196.066
1.43,193.557
1.44,196.202
1.45,205.154
1.46,198.983
1.47,200.203
1.48,203.798
1.49,201.695
1.5,199.864
1.51,198.576
1.52,197.355
1.53,196.27
1.54,195.253
1.55,194.439
1.56,193.489
1.57,192.608
1.58,191.794
1.59,190.98
1.6,190.166
1.61,189.352
1.62,188.674
1.63,187.996
1.64,187.25
1.65,186.707
1.66,185.961
1.67,185.419
1.68,184.876
1.69,184.266
1.7,183.723
1.71,183.181
1.72,182.706
1.73,182.231
1.74,181.689
1.75,181.214
1.76,180.671
1.77,180.264
1.78,179.79
1.79,179.315
1.8,178.976
1.81,178.433
1.82,178.026
1.83,177.62
1.84,177.213
1.85,176.874
1.86,176.331
1.87,175.992
