# SYS: 105
# DIA: 74
# PPM: 60

Time,Pressure
0.0,2.035
0.01,2.035
0.02,2.035
0.03,2.035
0.04,2.035
0.05,2.102
0.06,2.035
0.07,2.035
0.08,2.035
0.09,2.035
0.1,2.035
0.11,2.035
0.12,2.035
0.13,2.102
0.14,2.035
0.15,2.102
0.16,2.035
0.17,2.035
0.18,2.102
0.19,2.035
0.2,2.102
0.21,2.035
0.22,2.102
0.23,2.102
0.24,2.035
0.25,2.102
0.26,2.102
0.27,2.102
0.28,2.035
0.29,1.899
0.3,1.899
0.31,1.831
0.32,1.763
0.33,1.695
0.34,1.628
0.35,1.628
0.36,1.492
0.37,1.492
0.38,1.424
0.39,1.356
0.4,1.356
0.41,1.221
0.42,1.289
0.43,1.289
0.44,1.221
0.45,1.221
0.46,1.221
0.47,1.289
0.48,1.289
0.49,1.289
0.5,1.356
0.51,1.289
0.52,1.356
0.53,1.289
0.54,1.356
0.55,1.356
0.56,1.356
0.57,1.424
0.58,1.356
0.59,1.424
0.6,1.628
0.61,2.645
0.62,4.273
0.63,6.579
0.64,9.359
0.65,10.241
0.66,7.596
0.67,7.799
0.68,14.106
0.69,16.751
0.7,11.936
0.71,11.597
0.72,18.922
0.73,21.77
0.74,17.226
0.75,16.548
0.76,23.533
0.77,27.263
0.78,23.33
0.79,22.448
0.8,29.095
0.81,33.367
0.82,30.18
0.83,28.959
0.84,35.334
0.85,40.285
0.86,37.64
0.87,36.216
0.88,42.523
0.89,48.084
0.9,45.982
0.91,43.947
0.92,49.983
0.93,56.494
0.94,55.273
0.95,52.696
0.96,58.46
0.97,65.785
0.98,64.971
0.99,62.326
1.0,67.752
1.01,75.687
1.02,75.28
1.03,72.499
1.04,78.264
1.05,86.741
1.06,86.47
1.07,83.554
1.08,89.658
1.09,98.406
1.1,97.864
1.11,95.151
1.12,101.526
1.13,110.139
1.14,109.257
1.15,107.087
1.16,113.801
1.17,121.601
1.18,120.583
1.19,119.023
1.2,126.009
1.21,133.062
1.22,131.299
1.23,130.96
1.24,138.488
1.25,143.845
1.26,141.743
1.27,142.625
1.28,150.763
1.29,155.307
1.3,152.798
1.31,154.629
1.32,163.106
1.33,166.904
1.34,163.377
1.35,166.361
