# SYS: 114
# DIA: 64
# PPM: 71

Time,Pressure
0.0,1.56
0.01,1.628
0.02,1.492
0.03,1.628
0.04,1.56
0.05,1.56
0.06,1.628
0.07,1.56
0.08,1.56
0.09,1.56
0.1,1.628
0.11,1.628
0.12,1.56
0.13,1.628
0.14,1.56
0.15,1.56
0.16,1.628
0.17,1.56
0.18,1.628
0.19,1.56
0.2,1.56
0.21,1.628
0.22,1.56
0.23,1.628
0.24,1.56
0.25,1.628
0.26,1.628
0.27,1.492
0.28,1.492
0.29,1.424
0.3,1.424
0.31,1.289
0.32,1.221
0.33,1.221
0.34,1.085
0.35,1.085
0.36,1.017
0.37,1.017
0.38,1.017
0.39,0.882
0.4,0.949
0.41,0.814
0.42,0.882
0.43,0.882
0.44,0.814
0.45,0.882
0.46,0.814
0.47,0.882
0.48,0.882
0.49,0.882
0.5,1.017
0.51,0.882
0.52,0.949
0.53,0.949
0.54,0.882
0.55,1.017
0.56,0.949
0.57,1.017
0.58,1.017
0.59,1.221
0.6,2.306
0.61,4.137
0.62,7.596
0.63,8.613
0.64,6.511
0.65,9.223
0.66,14.581
0.67,14.649
0.68,10.783
0.69,12.682
0.7,19.803
0.71,21.16
0.72,16.751
0.73,17.497
0.74,24.958
0.75,27.806
0.76,23.398
0.77,23.737
0.78,31.333
0.79,34.927
0.8,31.468
0.81,31.197
0.82,38.454
0.83,43.065
0.84,40.963
0.85,40.217
0.86,47.135
0.87,52.628
0.88,50.729
0.89,49.78
0.9,56.426
0.91,62.869
0.92,61.784
0.93,60.088
0.94,66.667
0.95,74.059
0.96,73.381
0.97,71.143
0.98,77.247
0.99,85.453
1.0,85.249
1.01,82.74
1.02,89.251
1.03,97.592
1.04,97.185
1.05,94.473
1.06,100.916
1.07,109.529
1.08,108.715
1.09,106.68
1.1,113.259
1.11,121.126
1.12,120.448
1.13,118.549
1.14,125.263
1.15,133.062
1.16,132.452
1.17,131.163
1.18,137.945
1.19,145.27
1.2,144.32
1.21,143.303
1.22,150.153
1.23,156.935
1.24,155.985
1.25,155.578
1.26,162.903
1.27,168.328
1.28,166.768
1.29,167.854
1.3,175.517
1.31,180.061
1.32,177.348
1.33,179.722
1.34,188.403
1.35,191.183
1.36,187.046
1.37,191.455
1.38,200.678
1.39,194.71
1.4,200.475
1.41,198.101
1.42,196.677
1.43,199.322
1.44,197.491
1.45,195.795
1.46,194.71
1.47,193.489
1.48,192.404
1.49,191.455
1.5,190.505
1.51,189.691
1.52,188.742
1.53,187.996
1.54,187.182
1.55,186.368
1.56,185.758
1.57,185.012
1.58,184.401
1.59,183.791
1.6,183.113
1.61,182.57
1.62,182.028
1.63,181.485
1.64,181.011
1.65,180.468
1.66,179.993
1.67,179.383
1.68,178.908
1.69,178.433
1.7,177.959
1.71,177.552
1.72,177.077
1.73,176.738
1.74,176.263
1.75,175.788
1.76,175.517
1.77,175.042
1.78,174.703
1.79,174.364
1.8,173.957
1.81,173.618
1.82,173.211
1.83,172.872
1.84,172.601
1.85,172.194
1.86,171.923
1.87,171.448
1.88,171.244
1.89,170.905
1.9,170.431
1.91,170.159
1.92,169.82
1.93,169.549
1.94,169.21
1.95,168.871
1.96,168.532
1.97,168.193
1.98,167.921
1.99,167.65
2.0,167.311
2.01,167.04
2.02,166.768
2.03,166.429
2.04,166.158
2.05,165.751
2.06,165.48
2.07,165.209
2.08,165.005
2.09,164.734
2.1,164.395
2.11,164.191
2.12,163.852
2.13,163.649
2.14,163.513
2.15,163.377
2.16,163.377
2.17,163.174
2.18,163.038
2.19,162.767
2.2,162.496
2.21,162.224
2.22,161.818
2.23,161.478
2.24,161.139
2.25,160.732
2.26,160.529
2.27,160.258
2.28,160.122
2.29,159.851
2.3,159.58
2.31,159.376
2.32,159.105
2.33,158.901
2.34,158.63
2.35,158.291
2.36,158.087
2.37,157.748
2.38,157.613
2.39,157.341
2.4,157.07
2.41,157.002
2.42,156.663
2.43,156.528
2.44,156.324
2.45,156.121
2.46,155.917
2.47,155.578
2.48,155.443
2.49,155.103
2.5,154.9
2.51,154.764
2.52,154.493
2.53,154.357
2.54,154.086
2.55,153.95
2.56,153.815
2.57,153.476
2.58,153.34
2.59,153.137
2.6,153.001
2.61,152.865
2.62,152.526
