# SYS: 108
# DIA: 66
# PPM: 54

Time,Pressure
0.0,4.001
0.01,4.001
0.02,3.934
0.03,4.001
0.04,4.001
0.05,3.934
0.06,4.069
0.07,4.001
0.08,4.069
0.09,4.069
0.1,4.001
0.11,4.069
0.12,4.001
0.13,4.069
0.14,4.001
0.15,4.001
0.16,4.069
0.17,4.001
0.18,4.069
0.19,4.001
0.2,4.001
0.21,4.069
0.22,4.001
0.23,4.069
0.24,4.069
0.25,4.069
0.26,4.069
0.27,3.934
0.28,3.866
0.29,3.594
0.3,3.527
0.31,3.323
0.32,3.12
0.33,3.052
0.34,2.848
0.35,2.781
0.36,2.645
0.37,2.509
0.38,2.509
0.39,2.374
0.4,2.442
0.41,2.374
0.42,2.306
0.43,2.442
0.44,2.374
0.45,2.442
0.46,2.442
0.47,2.442
0.48,2.577
0.49,2.509
0.5,2.577
0.51,2.577
0.52,2.577
0.53,2.645
0.54,2.577
0.55,2.645
0.56,2.645
0.57,2.645
0.58,2.713
0.59,3.052
0.6,4.408
0.61,6.985
0.62,9.766
0.63,9.698
0.64,9.902
0.65,14.446
0.66,17.226
0.67,13.632
0.68,13.089
0.69,19.532
0.7,23.533
0.71,19.6
0.72,18.786
0.73,25.161
0.74,29.569
0.75,26.924
0.76,25.432
0.77,31.4
0.78,36.487
0.79,34.995
0.8,32.689
0.81,37.504
0.82,44.354
0.83,43.269
0.84,40.42
0.85,45.439
0.86,52.492
0.87,52.085
0.88,48.898
0.89,53.984
0.9,61.241
0.91,60.631
0.92,57.85
0.93,62.937
0.94,70.465
0.95,69.854
0.96,67.074
0.97,72.635
0.98,80.231
0.99,79.756
1.0,76.84
1.01,82.536
1.02,90.607
1.03,89.997
1.04,87.216
1.05,93.388
1.06,101.255
1.07,100.441
1.08,98.61
1.09,105.256
1.1,113.191
1.11,112.377
1.12,110.682
1.13,117.464
1.14,124.72
1.15,123.432
1.16,122.414
1.17,129.4
1.18,135.707
1.19,134.418
1.2,134.012
1.21,141.133
1.22,146.762
1.23,145.134
1.24,145.812
1.25,153.408
1.26,157.681
1.27,154.968
1.28,157.138
1.29,165.751
1.3,168.328
1.31,164.53
1.32,169.142
1.33,178.908
1.34,179.179
1.35,175.721
1.36,181.485
1.37,189.827
1.38,189.42
1.39,187.792
1.4,194.032
1.41,200.746
1.42,199.864
1.43,199.593
1.44,208.274
1.45,202.645
1.46,206.579
1.47,206.239
1.48,205.29
1.49,203.459
1.5,201.967
1.51,200.814
1.52,199.525
1.53,198.508
1.54,197.491
1.55,196.473
1.56,195.66
1.57,194.71
1.58,193.964
1.59,193.15
1.6,192.404
1.61,191.658
1.62,190.912
1.63,190.302
1.64,189.624
1.65,188.945
1.66,188.403
1.67,187.725
1.68,187.182
1.69,186.64
1.7,186.029
1.71,185.554
1.72,184.944
1.73,184.469
1.74,183.927
1.75,183.452
1.76,182.977
1.77,182.503
1.78,182.096
1.79,181.621
1.8,181.078
1.81,180.739
1.82,180.197
1.83,179.858
1.84,179.383
1.85,178.908
1.86,178.637
1.87,178.162
1.88,177.823
1.89,177.416
1.9,176.941
1.91,176.67
1.92,176.195
1.93,175.924
1.94,175.517
1.95,175.11
1.96,174.907
1.97,174.5
1.98,174.364
1.99,174.093
2.0,173.822
2.01,173.55
2.02,173.143
2.03,172.872
2.04,172.397
2.05,171.991
2.06,171.787
2.07,171.312
2.08,171.041
2.09,170.702
2.1,170.363
2.11,170.092
2.12,169.752
2.13,169.481
2.14,169.142
2.15,168.871
2.16,168.667
2.17,168.26
2.18,167.989
2.19,167.65
2.2,167.379
2.21,167.175
2.22,166.836
2.23,166.633
2.24,166.226
2.25,166.022
2.26,165.751
2.27,165.412
2.28,165.209
2.29,164.937
2.3,164.666
2.31,164.395
2.32,164.123
2.33,163.92
2.34,163.581
2.35,163.377
2.36,163.174
2.37,162.835
2.38,162.631
2.39,162.292
2.4,162.089
2.41,161.818
2.42,161.546
2.43,161.343
2.44,161.072
2.45,160.868
2.46,160.665
2.47,160.326
2.48,160.19
2.49,159.851
2.5,159.647
2.51,159.444
2.52,159.105
2.53,158.969
2.54,158.698
2.55,158.562
2.56,158.291
2.57,157.952
2.58,157.816
2.59,157.545
2.6,157.341
2.61,157.138
2.62,156.867
2.63,156.731
2.64,156.392
2.65,156.256
2.66,155.985
2.67,155.782
2.68,155.646
2.69,155.307
2.7,155.239
2.71,155.036
2.72,154.9
2.73,154.968
2.74,154.832
2.75,154.764
2.76,154.561
2.77,154.29
2.78,154.154
2.79,153.747
2.8,153.611
2.81,153.272
2.82,153.001
2.83,152.798
2.84,152.458
2.85,152.323
2.86,152.119
2.87,151.916
2.88,151.78
2.89,151.509
2.9,151.373
2.91,151.102
2.92,150.831
2.93,150.695
2.94,150.356
2.95,150.288
2.96,150.017
2.97,149.813
2.98,149.678
2.99,149.474
3.0,149.271
