# SYS: 116
# DIA: 76
# PPM: 64

Time,Pressure
0.0,4.544
0.01,4.34
0.02,4.069
0.03,4.001
0.04,3.866
0.05,3.662
0.06,3.594
0.07,3.391
0.08,3.323
0.09,3.255
0.1,3.188
0.11,3.188
0.12,3.12
0.13,3.255
0.14,3.323
0.15,3.323
0.16,3.459
0.17,3.391
0.18,3.527
0.19,3.459
0.2,3.527
0.21,3.662
0.22,3.594
0.23,3.662
0.24,3.662
0.25,3.662
0.26,3.73
0.27,3.866
0.28,4.612
0.29,6.375
0.3,9.834
0.31,12.14
0.32,10.919
0.33,13.564
0.34,18.989
0.35,19.193
0.36,15.395
0.37,18.243
0.38,25.432
0.39,26.043
0.4,21.702
0.41,24.212
0.42,31.807
0.43,32.825
0.44,28.281
0.45,31.061
0.46,38.928
0.47,39.607
0.48,35.605
0.49,38.657
0.5,46.66
0.51,47.406
0.52,43.54
0.53,46.999
0.54,55.07
0.55,55.883
0.56,52.221
0.57,55.748
0.58,64.09
0.59,65.378
0.6,61.919
0.61,65.175
0.62,73.788
0.63,75.551
0.64,72.092
0.65,75.619
0.66,84.232
0.67,86.267
0.68,82.876
0.69,86.402
0.7,95.354
0.71,96.779
0.72,93.591
0.73,97.999
0.74,106.816
0.75,107.969
0.76,104.578
0.77,109.732
0.78,118.956
0.79,119.023
0.8,115.429
0.81,121.668
0.82,130.756
0.83,129.875
0.84,127.433
0.85,134.215
0.86,141.811
0.87,140.658
0.88,139.369
0.89,146.558
0.9,153.204
0.91,151.509
0.92,151.78
0.93,159.444
0.94,164.734
0.95,162.36
0.96,164.056
0.97,172.669
0.98,176.331
0.99,172.397
1.0,176.534
1.01,186.64
1.02,187.521
1.03,183.52
1.04,189.556
1.05,198.576
1.06,197.898
1.07,196.134
1.08,202.781
1.09,205.9
1.1,204.069
1.11,203.391
1.12,207.596
1.13,205.426
1.14,204.408
1.15,202.848
1.16,201.56
1.17,200.475
1.18,199.322
1.19,198.372
1.2,197.423
1.21,196.541
1.22,195.795
1.23,194.981
1.24,194.235
1.25,193.421
1.26,192.811
1.27,192.133
1.28,191.455
1.29,190.912
1.3,190.234
1.31,189.624
1.32,189.149
1.33,188.538
1.34,188.064
1.35,187.521
1.36,187.114
1.37,186.843
1.38,186.436
1.39,186.097
1.4,185.622
1.41,185.148
1.42,184.673
1.43,184.198
1.44,183.723
1.45,183.181
1.46,182.774
1.47,182.299
1.48,181.824
1.49,181.417
1.5,181.011
1.51,180.604
1.52,180.197
1.53,179.858
1.54,179.518
1.55,179.112
1.56,178.772
1.57,178.433
1.58,178.026
1.59,177.687
1.6,177.213
1.61,177.077
1.62,176.67
1.63,176.331
1.64,176.06
1.65,175.653
1.66,175.381
1.67,175.042
1.68,174.635
1.69,174.364
1.7,174.025
1.71,173.686
1.72,173.347
1.73,173.076
1.74,172.804
1.75,172.465
1.76,172.126
1.77,171.855
1.78,171.516
1.79,171.244
1.8,170.973
1.81,170.702
1.82,170.431
1.83,170.092
1.84,169.888
1.85,169.481
1.86,169.278
1.87,169.006
1.88,168.667
1.89,168.464
1.9,168.125
1.91,167.921
1.92,167.65
1.93,167.311
1.94,167.107
1.95,166.836
1.96,166.565
1.97,166.294
1.98,166.022
1.99,165.819
2.0,165.48
2.01,165.344
2.02,165.005
2.03,164.734
2.04,164.53
2.05,164.191
2.06,163.988
2.07,163.784
2.08,163.445
2.09,163.31
2.1,162.97
2.11,162.835
2.12,162.564
2.13,162.292
2.14,162.089
2.15,161.818
2.16,161.614
2.17,161.343
2.18,161.139
2.19,160.936
2.2,160.597
2.21,160.461
2.22,160.19
2.23,159.919
2.24,159.783
2.25,159.512
2.26,159.308
2.27,159.037
2.28,158.834
2.29,158.63
2.3,158.359
2.31,158.223
2.32,157.952
2.33,157.748
2.34,157.613
2.35,157.341
2.36,157.341
2.37,157.274
2.38,157.274
2.39,157.274
2.4,157.002
2.41,156.935
2.42,156.663
2.43,156.392
2.44,156.189
2.45,155.917
2.46,155.646
2.47,155.307
2.48,155.103
2.49,154.832
2.5,154.493
2.51,154.357
2.52,154.018
2.53,153.95
2.54,153.747
2.55,153.544
2.56,153.34
2.57,153.137
2.58,152.933
2.59,152.73
2.6,152.458
2.61,152.255
2.62,152.052
2.63,151.916
2.64,151.712
2.65,151.441
2.66,151.373
2.67,151.102
2.68,150.899
2.69,150.695
2.7,150.424
2.71,150.288
2.72,150.017
2.73,149.881
2.74,149.61
2.75,149.339
2.76,149.203
2.77,149.0
2.78,148.796
2.79,148.593
2.8,148.389
2.81,148.254
2.82,147.982
2.83,147.847
2.84,147.643
2.85,147.372
2.86,147.304
2.87,147.033
2.88,146.897
2.89,146.694
2.9,146.49
2.91,146.355
2.92,146.083
2.93,145.948
2.94,145.812
2.95,145.541
2.96,145.405
2.97,145.202
2.98,144.998
2.99,144.795
3.0,144.591
3.01,144.456
3.02,144.252
3.03,144.049
3.04,143.913
3.05,143.642
3.06,143.506
3.07,143.303
3.08,143.235
3.09,143.032
3.1,142.76
3.11,142.692
3.12,142.421
3.13,142.286
3.14,142.082
3.15,141.879
3.16,141.811
3.17,141.54
3.18,141.404
3.19,141.268
3.2,140.997
3.21,140.929
3.22,140.658
3.23,140.522
3.24,140.319
3.25,140.115
3.26,140.047
3.27,139.844
3.28,139.708
3.29,139.573
3.3,139.301
3.31,139.166
3.32,138.962
3.33,138.759
3.34,138.623
3.35,138.42
3.36,138.352
3.37,138.081
3.38,138.013
3.39,137.809
3.4,137.606
3.41,137.538
3.42,137.47
3.43,137.538
3.44,137.674
3.45,137.606
3.46,137.606
3.47,137.47
3.48,137.335
3.49,137.199
3.5,136.996
3.51,136.928
3.52,136.724
3.53,136.656
3.54,136.521
3.55,136.385
3.56,136.317
3.57,136.114
3.58,136.046
3.59,135.843
3.6,135.707
3.61,135.571
3.62,135.368
3.63,135.232
3.64,135.029
3.65,134.825
3.66,134.69
3.67,134.486
3.68,134.283
3.69,134.147
3.7,133.944
3.71,133.808
3.72,133.537
3.73,133.469
3.74,133.266
3.75,133.062
3.76,132.994
3.77,132.723
3.78,132.587
3.79,132.384
3.8,132.18
3.81,132.113
3.82,131.773
3.83,131.638
3.84,131.502
3.85,131.231
3.86,131.163
3.87,130.892
3.88,130.756
3.89,130.621
3.9,130.349
3.91,130.214
3.92,130.01
3.93,129.942
3.94,129.739
3.95,129.603
3.96,129.468
3.97,129.264
3.98,129.129
3.99,128.993
4.0,128.789
4.01,128.722
4.02,128.518
4.03,128.383
4.04,128.247
4.05,128.043
4.06,127.976
4.07,127.772
4.08,127.636
4.09,127.433
4.1,127.23
4.11,127.162
4.12,126.958
4.13,126.89
4.14,126.687
4.15,126.484
4.16,126.416
4.17,126.212
4.18,126.077
4.19,125.941
4.2,125.738
4.21,125.67
4.22,125.466
4.23,125.331
4.24,125.195
4.25,124.992
4.26,124.992
4.27,124.72
4.28,124.585
4.29,124.517
4.3,124.313
4.31,124.178
4.32,124.042
4.33,123.974
4.34,123.771
4.35,123.635
4.36,123.499
4.37,123.296
4.38,123.228
4.39,123.093
4.4,122.889
4.41,122.821
4.42,122.618
4.43,122.55
4.44,122.414
4.45,122.211
4.46,122.143
4.47,122.007
4.48,122.075
4.49,122.211
4.5,122.279
4.51,122.414
4.52,122.347
4.53,122.347
4.54,122.414
4.55,122.414
4.56,122.347
4.57,122.211
4.58,122.075
4.59,121.94
4.6,121.736
4.61,121.601
4.62,121.397
4.63,121.261
4.64,121.058
4.65,120.922
4.66,120.787
4.67,120.583
4.68,120.515
4.69,120.38
4.7,120.176
4.71,120.041
4.72,119.769
4.73,119.702
4.74,119.566
4.75,119.43
4.76,119.362
4.77,119.091
4.78,119.091
4.79,118.888
4.8,118.752
4.81,118.684
4.82,118.481
4.83,118.413
4.84,118.277
4.85,118.074
4.86,118.006
4.87,117.735
4.88,117.667
4.89,117.464
4.9,117.328
4.91,117.192
4.92,116.989
4.93,116.853
4.94,116.65
4.95,116.514
4.96,116.446
4.97,116.243
4.98,116.107
4.99,115.972
5.0,115.836
5.01,115.768
5.02,115.565
5.03,115.565
5.04,115.361
5.05,115.361
5.06,115.293
5.07,115.09
5.08,115.09
5.09,114.886
5.1,114.819
5.11,114.751
5.12,114.547
5.13,114.547
5.14,114.412
5.15,114.276
5.16,114.208
5.17,114.005
5.18,113.937
5.19,113.801
5.2,113.666
5.21,113.53
5.22,113.327
5.23,113.259
5.24,113.123
5.25,112.987
5.26,112.92
5.27,112.716
5.28,112.648
5.29,112.513
5.3,112.445
5.31,112.377
5.32,112.241
5.33,112.174
5.34,112.038
5.35,111.97
5.36,111.902
5.37,111.699
5.38,111.699
5.39,111.563
5.4,111.495
5.41,111.36
5.42,111.224
5.43,111.224
5.44,111.089
5.45,111.021
5.46,111.021
5.47,111.089
5.48,111.224
5.49,111.292
5.5,111.36
5.51,111.36
5.52,111.292
5.53,111.428
5.54,111.36
5.55,111.292
5.56,111.156
5.57,110.953
5.58,110.817
5.59,110.682
5.6,110.478
5.61,110.342
5.62,110.139
5.63,110.003
5.64,109.8
5.65,109.664
5.66,109.461
5.67,109.325
5.68,109.19
5.69,108.986
5.7,108.986
5.71,108.85
5.72,108.715
5.73,108.647
5.74,108.511
5.75,108.511
5.76,108.444
5.77,108.308
5.78,108.24
5.79,108.104
5.8,108.037
5.81,107.901
5.82,107.765
5.83,107.698
5.84,107.494
5.85,107.358
5.86,107.155
5.87,107.019
5.88,106.952
5.89,106.748
5.9,106.612
5.91,106.409
5.92,106.273
5.93,106.205
5.94,106.002
5.95,105.934
5.96,105.799
5.97,105.663
5.98,105.663
5.99,105.527
6.0,105.527
6.01,105.392
6.02,105.324
6.03,105.324
6.04,105.188
6.05,105.12
6.06,105.053
6.07,104.917
6.08,104.849
6.09,104.578
6.1,104.578
6.11,104.442
6.12,104.307
6.13,104.239
6.14,104.035
6.15,103.9
6.16,103.764
6.17,103.696
6.18,103.696
6.19,103.764
6.2,103.9
6.21,103.9
6.22,103.967
6.23,104.035
6.24,103.9
6.25,103.9
6.26,103.832
6.27,103.764
6.28,103.696
6.29,103.561
6.3,103.493
6.31,103.357
6.32,103.289
6.33,103.154
6.34,102.95
6.35,102.815
6.36,102.747
6.37,102.679
6.38,102.611
6.39,102.408
6.4,102.408
6.41,102.204
6.42,102.136
6.43,101.933
6.44,101.797
6.45,101.729
6.46,101.594
6.47,101.526
6.48,101.39
6.49,101.255
6.5,101.187
6.51,100.983
6.52,100.916
6.53,100.78
6.54,100.644
6.55,100.576
6.56,100.441
6.57,100.373
6.58,100.237
6.59,100.17
6.6,100.102
6.61,99.898
6.62,99.83
6.63,99.695
6.64,99.559
6.65,99.491
6.66,99.356
6.67,99.22
6.68,99.152
6.69,99.017
6.7,98.881
6.71,98.813
6.72,98.678
6.73,98.61
6.74,98.474
6.75,98.406
6.76,98.271
6.77,98.203
6.78,98.135
6.79,97.999
6.8,97.999
6.81,97.864
6.82,97.864
6.83,97.796
6.84,97.932
6.85,97.999
6.86,97.932
6.87,97.999
6.88,97.999
6.89,97.932
6.9,97.999
6.91,97.864
6.92,97.796
6.93,97.728
6.94,97.525
6.95,97.525
6.96,97.321
6.97,97.253
6.98,97.118
6.99,96.982
7.0,96.914
7.01,96.711
7.02,96.711
7.03,96.575
7.04,96.507
7.05,96.372
7.06,96.168
7.07,96.168
7.08,95.965
7.09,95.965
7.1,95.761
7.11,95.693
7.12,95.626
7.13,95.49
7.14,95.422
7.15,95.354
7.16,95.219
7.17,95.151
7.18,95.015
7.19,94.947
7.2,94.812
7.21,94.676
7.22,94.608
7.23,94.473
7.24,94.337
7.25,94.201
7.26,94.066
7.27,93.998
7.28,93.795
7.29,93.795
7.3,93.659
7.31,93.523
7.32,93.523
7.33,93.32
7.34,93.32
7.35,93.184
7.36,93.048
7.37,92.981
7.38,92.913
7.39,92.845
7.4,92.777
7.41,92.642
7.42,92.642
7.43,92.506
7.44,92.438
7.45,92.302
7.46,92.235
7.47,92.235
7.48,92.031
7.49,92.031
7.5,91.963
7.51,91.896
7.52,92.099
7.53,92.099
7.54,92.167
7.55,92.167
7.56,92.167
7.57,92.302
7.58,92.167
7.59,92.099
7.6,92.031
7.61,91.963
7.62,91.896
7.63,91.76
7.64,91.692
7.65,91.556
7.66,91.421
7.67,91.421
7.68,91.217
7.69,91.217
7.7,91.15
7.71,90.946
7.72,90.946
7.73,90.743
7.74,90.675
7.75,90.539
7.76,90.471
7.77,90.471
7.78,90.268
7.79,90.268
7.8,90.2
7.81,90.064
7.82,90.064
7.83,89.929
7.84,89.861
7.85,89.793
7.86,89.658
7.87,89.658
7.88,89.454
7.89,89.386
7.9,89.251
7.91,89.183
7.92,89.047
7.93,88.911
7.94,88.911
7.95,88.776
7.96,88.64
7.97,88.572
7.98,88.369
7.99,88.369
8.0,88.233
8.01,88.165
8.02,88.098
8.03,87.962
8.04,87.894
8.05,87.826
8.06,87.691
8.07,87.691
8.08,87.555
8.09,87.487
8.1,87.419
8.11,87.284
8.12,87.216
8.13,87.148
8.14,87.08
8.15,86.945
8.16,86.877
8.17,86.809
8.18,86.673
8.19,86.741
8.2,86.673
8.21,86.741
8.22,86.809
8.23,86.809
8.24,86.877
8.25,86.809
8.26,86.741
8.27,86.741
8.28,86.606
8.29,86.606
8.3,86.47
8.31,86.402
8.32,86.334
8.33,86.131
8.34,86.063
8.35,85.927
8.36,85.927
8.37,85.86
8.38,85.724
8.39,85.724
8.4,85.588
8.41,85.453
8.42,85.385
8.43,85.249
8.44,85.249
8.45,85.114
8.46,85.046
8.47,85.046
8.48,84.91
8.49,84.91
8.5,84.774
8.51,84.774
8.52,84.707
8.53,84.503
8.54,84.503
8.55,84.435
8.56,84.3
8.57,84.232
8.58,84.096
8.59,84.096
8.6,83.961
8.61,83.893
8.62,83.757
8.63,83.622
8.64,83.622
8.65,83.486
8.66,83.418
8.67,83.35
8.68,83.215
8.69,83.147
8.7,83.011
8.71,83.011
8.72,82.943
8.73,82.808
8.74,82.808
8.75,82.672
8.76,82.604
8.77,82.536
8.78,82.469
8.79,82.401
8.8,82.265
8.81,82.197
8.82,82.197
8.83,82.062
8.84,82.062
8.85,81.926
8.86,81.926
8.87,81.858
8.88,81.79
8.89,81.926
8.9,81.926
8.91,81.926
8.92,81.926
8.93,81.926
8.94,81.926
8.95,81.79
8.96,81.79
8.97,81.723
8.98,81.655
8.99,81.587
9.0,81.519
9.01,81.451
9.02,81.248
9.03,81.18
9.04,81.18
9.05,81.044
9.06,81.044
9.07,80.977
9.08,80.841
9.09,80.841
9.1,80.638
9.11,80.638
9.12,80.57
9.13,80.434
9.14,80.366
9.15,80.298
9.16,80.298
9.17,80.163
9.18,80.095
9.19,80.095
9.2,79.959
9.21,79.959
9.22,79.824
9.23,79.756
9.24,79.756
9.25,79.62
9.26,79.552
9.27,79.485
9.28,79.349
9.29,79.281
9.3,79.145
9.31,79.145
9.32,79.01
9.33,78.942
9.34,78.942
9.35,78.739
9.36,78.739
9.37,78.603
9.38,78.535
9.39,78.535
9.4,78.399
9.41,78.399
9.42,78.264
9.43,78.196
9.44,78.196
9.45,78.06
9.46,78.06
9.47,77.925
9.48,77.925
9.49,77.857
9.5,77.789
9.51,77.721
9.52,77.653
9.53,77.586
9.54,77.518
9.55,77.382
9.56,77.382
9.57,77.247
9.58,77.179
9.59,77.179
9.6,77.043
9.61,77.043
9.62,76.907
9.63,76.84
9.64,76.84
9.65,76.704
9.66,76.704
9.67,76.636
9.68,76.568
9.69,76.501
9.7,76.365
9.71,76.433
9.72,76.297
9.73,76.229
9.74,76.365
9.75,76.365
9.76,76.568
9.77,76.501
9.78,76.501
9.79,76.636
9.8,76.501
9.81,76.568
9.82,76.433
9.83,76.433
9.84,76.365
9.85,76.229
9.86,76.229
9.87,76.094
9.88,76.026
9.89,75.958
9.9,75.822
9.91,75.822
9.92,75.619
9.93,75.619
9.94,75.619
9.95,75.483
9.96,75.483
9.97,75.348
9.98,75.28
9.99,75.212
10.0,75.144
10.01,75.076
10.02,75.008
10.03,74.941
10.04,74.941
10.05,74.805
10.06,74.805
10.07,74.669
10.08,74.669
10.09,74.602
10.1,74.466
10.11,74.466
10.12,74.398
10.13,74.33
10.14,74.262
10.15,74.127
10.16,74.127
10.17,73.991
10.18,73.991
10.19,73.923
10.2,73.788
10.21,73.856
10.22,73.788
10.23,73.788
10.24,73.788
10.25,73.72
10.26,73.72
10.27,73.652
10.28,73.584
10.29,73.516
10.3,73.449
10.31,73.449
10.32,73.381
10.33,73.313
10.34,73.245
10.35,73.11
10.36,73.11
10.37,72.974
10.38,72.974
10.39,72.906
10.4,72.77
10.41,72.77
10.42,72.635
10.43,72.567
10.44,72.567
10.45,72.431
10.46,72.431
10.47,72.296
10.48,72.228
10.49,72.16
10.5,72.092
10.51,72.092
10.52,71.957
10.53,71.889
10.54,71.821
10.55,71.753
10.56,71.685
10.57,71.617
10.58,71.55
10.59,71.482
10.6,71.414
10.61,71.414
10.62,71.211
10.63,71.278
10.64,71.211
10.65,71.007
10.66,71.075
10.67,70.939
10.68,71.007
10.69,70.871
10.7,70.804
10.71,70.804
10.72,70.668
10.73,70.668
10.74,70.532
10.75,70.465
10.76,70.532
10.77,70.397
10.78,70.329
10.79,70.261
10.8,70.261
10.81,70.465
10.82,70.465
10.83,70.6
10.84,70.532
10.85,70.6
10.86,70.6
10.87,70.465
10.88,70.532
10.89,70.397
10.9,70.329
10.91,70.329
10.92,70.193
10.93,70.193
10.94,70.058
10.95,69.99
10.96,69.922
10.97,69.786
10.98,69.854
10.99,69.786
11.0,69.651
11.01,69.651
11.02,69.515
11.03,69.447
11.04,69.379
11.05,69.312
11.06,69.312
11.07,69.176
11.08,69.176
11.09,69.108
11.1,69.04
11.11,68.973
11.12,68.905
11.13,68.905
11.14,68.769
11.15,68.769
11.16,68.769
11.17,68.633
11.18,68.633
11.19,68.498
11.2,68.43
11.21,68.362
11.22,68.294
11.23,68.294
11.24,68.159
11.25,68.159
11.26,68.091
11.27,67.955
11.28,67.955
11.29,67.82
11.3,67.82
11.31,67.82
11.32,67.684
11.33,67.684
11.34,67.616
11.35,67.548
11.36,67.481
11.37,67.345
11.38,67.413
11.39,67.345
11.4,67.277
11.41,67.209
11.42,67.074
11.43,67.141
11.44,67.006
11.45,67.006
11.46,67.006
11.47,66.938
11.48,66.938
11.49,66.802
11.5,66.802
11.51,66.802
11.52,66.599
11.53,66.667
11.54,66.531
11.55,66.531
11.56,66.463
11.57,66.328
11.58,66.395
11.59,66.26
11.6,66.328
11.61,66.26
11.62,66.192
11.63,66.192
11.64,66.124
11.65,66.124
11.66,66.056
11.67,65.988
11.68,66.056
11.69,65.921
11.7,65.921
11.71,65.853
11.72,65.785
11.73,65.785
11.74,65.717
11.75,65.717
11.76,65.717
11.77,65.649
11.78,65.853
11.79,65.921
11.8,66.192
11.81,66.328
11.82,66.328
11.83,66.463
11.84,66.463
11.85,66.463
11.86,66.463
11.87,66.328
11.88,66.395
11.89,66.328
11.9,66.395
11.91,66.395
11.92,66.328
11.93,66.463
11.94,66.395
11.95,66.463
11.96,66.531
11.97,66.463
11.98,66.531
11.99,66.395
12.0,66.395
12.01,66.26
12.02,66.192
12.03,66.192
12.04,66.056
12.05,66.056
12.06,65.988
12.07,65.921
12.08,65.853
12.09,65.785
12.1,65.785
12.11,65.785
12.12,65.649
12.13,65.649
12.14,65.514
12.15,65.446
12.16,65.31
12.17,65.31
12.18,65.242
12.19,65.175
12.2,65.107
12.21,65.039
12.22,64.971
12.23,64.903
12.24,64.768
12.25,64.768
12.26,64.632
12.27,64.564
12.28,64.564
12.29,64.429
12.3,64.496
12.31,64.361
12.32,64.293
12.33,64.225
12.34,64.09
12.35,64.022
12.36,63.886
12.37,63.886
12.38,63.818
12.39,63.75
12.4,63.683
12.41,63.547
12.42,63.547
12.43,63.547
12.44,63.411
12.45,63.479
12.46,63.344
12.47,63.344
12.48,63.276
12.49,63.14
12.5,63.072
12.51,63.004
12.52,62.937
12.53,62.937
12.54,62.869
12.55,62.869
12.56,62.733
12.57,62.733
12.58,62.801
12.59,62.801
12.6,62.869
12.61,62.869
12.62,62.937
12.63,62.937
12.64,62.869
12.65,62.869
12.66,62.733
12.67,62.665
12.68,62.733
12.69,62.53
12.7,62.53
12.71,62.462
12.72,62.394
12.73,62.394
12.74,62.191
12.75,62.258
12.76,62.191
12.77,62.123
12.78,62.055
12.79,61.987
12.8,61.987
12.81,61.784
12.82,61.784
12.83,61.716
12.84,61.648
12.85,61.648
12.86,61.512
12.87,61.58
12.88,61.512
12.89,61.445
12.9,61.445
12.91,61.377
12.92,61.309
12.93,61.309
12.94,61.241
12.95,61.241
12.96,61.038
12.97,61.038
12.98,60.97
12.99,60.902
13.0,60.902
13.01,60.766
13.02,60.834
13.03,60.766
13.04,60.699
13.05,60.766
13.06,60.699
13.07,60.699
13.08,60.631
13.09,60.631
13.1,60.631
13.11,60.563
13.12,60.563
13.13,60.495
13.14,60.427
13.15,60.495
13.16,60.359
13.17,60.359
13.18,60.292
13.19,60.292
13.2,60.292
13.21,60.224
13.22,60.224
13.23,60.156
13.24,60.088
13.25,60.088
13.26,59.953
13.27,59.953
13.28,59.953
13.29,60.02
13.3,60.156
13.31,60.088
13.32,60.156
13.33,60.156
13.34,60.088
13.35,60.088
13.36,60.02
13.37,60.02
13.38,60.02
13.39,59.953
13.4,59.953
13.41,59.817
13.42,59.817
13.43,59.749
13.44,59.681
13.45,59.613
13.46,59.546
13.47,59.613
13.48,59.478
13.49,59.478
13.5,59.478
13.51,59.342
13.52,59.342
13.53,59.274
13.54,59.207
13.55,59.139
13.56,59.139
13.57,59.139
13.58,59.139
13.59,59.139
13.6,59.071
13.61,59.003
13.62,59.003
13.63,59.003
13.64,58.935
13.65,59.003
13.66,58.867
13.67,58.867
13.68,58.8
13.69,58.732
13.7,58.732
13.71,58.596
13.72,58.596
13.73,58.528
13.74,58.528
13.75,58.46
13.76,58.325
13.77,58.325
13.78,58.257
13.79,58.257
13.8,58.189
13.81,58.054
13.82,58.121
13.83,57.986
13.84,57.986
13.85,57.918
13.86,57.85
13.87,57.85
13.88,57.782
13.89,57.782
13.9,57.714
13.91,57.579
13.92,57.647
13.93,57.511
13.94,57.511
13.95,57.511
13.96,57.375
13.97,57.375
13.98,57.24
13.99,57.24
14.0,57.24
14.01,57.172
14.02,57.375
14.03,57.308
14.04,57.375
14.05,57.375
14.06,57.308
14.07,57.308
14.08,57.24
14.09,57.308
14.1,57.24
14.11,57.172
14.12,57.172
14.13,57.036
14.14,57.036
14.15,56.968
14.16,56.901
14.17,56.901
14.18,56.765
14.19,56.833
14.2,56.697
14.21,56.697
14.22,56.629
14.23,56.562
14.24,56.562
14.25,56.426
14.26,56.426
14.27,56.426
14.28,56.358
14.29,56.358
14.3,56.222
14.31,56.222
14.32,56.222
14.33,56.087
14.34,56.087
14.35,56.087
14.36,56.019
14.37,56.019
14.38,55.883
