# SYS: 121
# DIA: 81
# PPM: 68

Time,Pressure
0.0,0.543
0.01,0.543
0.02,0.475
0.03,0.543
0.04,0.475
0.05,0.543
0.06,0.475
0.07,0.475
0.08,0.543
0.09,0.475
0.1,0.543
0.11,0.475
0.12,0.543
0.13,0.543
0.14,0.475
0.15,0.543
0.16,0.475
0.17,0.543
0.18,0.543
0.19,0.475
0.2,0.543
0.21,0.543
0.22,0.543
0.23,0.543
0.24,0.475
0.25,0.543
0.26,0.543
0.27,0.543
0.28,0.543
0.29,0.475
0.3,0.543
0.31,0.475
0.32,0.543
0.33,0.475
0.34,0.407
0.35,0.543
0.36,0.339
0.37,0.475
0.38,0.407
0.39,0.407
0.4,0.407
0.41,0.339
0.42,0.407
0.43,0.407
0.44,0.407
0.45,0.475
0.46,0.339
0.47,0.475
0.48,0.407
0.49,0.407
0.5,0.407
0.51,0.407
0.52,0.475
0.53,0.407
0.54,0.475
0.55,0.475
0.56,0.407
0.57,0.475
0.58,0.407
0.59,0.475
0.6,0.61
0.61,1.153
0.62,2.374
0.63,4.544
0.64,4.747
0.65,2.984
0.66,5.358
0.67,8.138
0.68,5.019
0.69,2.577
0.7,6.443
0.71,10.105
0.72,6.985
0.73,3.73
0.74,7.189
0.75,11.258
0.76,9.156
0.77,5.222
0.78,7.799
0.79,12.614
0.8,11.326
0.81,6.782
0.82,8.206
0.83,13.632
0.84,13.7
0.85,8.681
0.86,8.681
0.87,14.581
0.88,15.802
0.89,10.444
0.9,9.563
0.91,15.599
0.92,17.497
0.93,12.275
0.94,10.919
0.95,16.819
0.96,19.396
0.97,14.581
0.98,12.886
0.99,18.854
1.0,21.702
1.01,17.091
1.02,15.395
1.03,21.295
1.04,24.686
1.05,20.821
1.06,18.922
1.07,24.279
1.08,28.484
1.09,25.5
1.1,23.262
1.11,28.62
1.12,33.571
1.13,31.536
1.14,29.162
1.15,34.249
1.16,40.217
1.17,38.657
1.18,36.216
1.19,41.302
1.2,47.948
1.21,47.27
1.22,44.625
1.23,49.983
1.24,57.104
1.25,56.629
1.26,54.256
1.27,59.681
1.28,67.209
1.29,66.599
1.3,64.429
1.31,70.736
1.32,78.332
1.33,77.518
1.34,75.89
1.35,82.876
1.36,89.929
1.37,88.64
1.38,88.233
1.39,95.626
1.4,101.662
1.41,100.17
1.42,100.848
1.43,108.918
1.44,113.869
1.45,111.767
1.46,113.937
1.47,122.482
1.48,126.077
1.49,123.228
1.5,127.23
1.51,136.589
1.52,137.809
1.53,134.825
1.54,140.387
1.55,149.949
1.56,149.474
1.57,147.779
1.58,154.629
1.59,161.546
1.6,160.19
1.61,160.732
1.62,168.396
1.63,173.347
1.64,170.227
1.65,173.483
1.66,183.588
1.67,183.723
1.68,181.078
1.69,187.386
1.7,194.71
1.71,193.354
1.72,193.761
1.73,201.221
1.74,200.61
1.75,202.374
1.76,201.424
1.77,201.356
1.78,202.848
1.79,201.695
1.8,200.068
1.81,199.051
1.82,197.965
1.83,196.88
1.84,195.931
1.85,195.049
1.86,194.1
1.87,193.354
1.88,192.54
1.89,191.726
1.9,191.116
1.91,190.302
1.92,189.759
1.93,189.149
1.94,188.471
1.95,187.928
1.96,187.318
1.97,186.707
1.98,186.165
1.99,185.554
2.0,185.012
2.01,184.401
2.02,183.859
2.03,183.316
2.04,182.774
2.05,182.299
2.06,181.757
2.07,181.282
2.08,180.875
2.09,180.332
2.1,179.925
2.11,179.451
2.12,179.044
2.13,178.569
2.14,178.094
2.15,177.755
2.16,177.348
2.17,176.941
2.18,176.534
2.19,176.128
2.2,175.788
2.21,175.314
2.22,174.975
2.23,174.568
2.24,174.161
2.25,173.889
2.26,173.415
2.27,173.076
2.28,172.804
2.29,172.33
2.3,172.126
2.31,171.719
2.32,171.448
2.33,171.109
2.34,170.77
2.35,170.498
2.36,170.092
2.37,169.82
2.38,169.481
2.39,169.142
2.4,168.939
2.41,168.532
2.42,168.328
2.43,167.989
