# SYS: 105
# DIA: 74
# PPM: 105

Time,Pressure
0.0,1.628
0.01,1.763
0.02,1.695
0.03,1.763
0.04,1.763
0.05,1.695
0.06,1.763
0.07,1.628
0.08,1.763
0.09,1.695
0.1,1.628
0.11,1.763
0.12,1.695
0.13,1.763
0.14,1.763
0.15,1.695
0.16,1.763
0.17,1.695
0.18,1.763
0.19,1.763
0.2,1.763
0.21,1.763
0.22,1.695
0.23,1.763
0.24,1.695
0.25,1.695
0.26,1.763
0.27,1.695
0.28,1.695
0.29,1.628
0.3,1.628
0.31,1.56
0.32,1.424
0.33,1.424
0.34,1.289
0.35,1.356
0.36,1.289
0.37,1.221
0.38,1.289
0.39,1.153
0.4,1.153
0.41,1.085
0.42,1.085
0.43,1.153
0.44,1.085
0.45,1.153
0.46,1.085
0.47,1.153
0.48,1.221
0.49,1.221
0.5,1.289
0.51,1.221
0.52,1.221
0.53,1.289
0.54,1.221
0.55,1.289
0.56,1.221
0.57,1.289
0.58,1.289
0.59,1.289
0.6,1.831
0.61,3.188
0.62,5.561
0.63,8.003
0.64,7.935
0.65,5.019
0.66,6.985
0.67,12.343
0.68,11.462
0.69,6.918
0.7,9.223
0.71,15.463
0.72,14.649
0.73,9.63
0.74,12.072
0.75,18.65
0.76,17.904
0.77,13.021
0.78,15.327
0.79,21.906
0.8,20.685
0.81,16.073
0.82,19.736
0.83,25.704
0.84,23.669
0.85,20.21
0.86,24.822
0.87,30.248
0.88,27.738
0.89,25.025
0.9,29.976
0.91,35.537
0.92,33.706
0.93,30.519
0.94,35.402
0.95,41.641
0.96,40.149
0.97,37.301
0.98,42.862
0.99,48.898
1.0,46.524
1.01,44.761
1.02,51.0
1.03,56.901
1.04,54.595
1.05,52.967
1.06,59.681
1.07,65.582
1.08,63.344
1.09,62.326
1.1,69.176
1.11,75.28
1.12,72.974
1.13,72.296
1.14,79.756
1.15,85.249
1.16,83.147
1.17,83.418
1.18,90.539
1.19,95.422
1.2,93.116
1.21,94.676
1.22,103.154
1.23,106.68
1.24,103.832
1.25,106.952
1.26,115.904
1.27,117.192
1.28,113.869
1.29,119.905
1.3,128.45
1.31,127.501
1.32,126.348
1.33,133.333
1.34,139.166
1.35,136.996
1.36,138.42
1.37,146.558
1.38,149.949
1.39,145.88
1.4,150.288
1.41,159.851
1.42,159.24
1.43,156.867
1.44,163.377
1.45,170.092
1.46,168.26
1.47,169.074
1.48,177.077
1.49,180.604
1.5,176.399
1.51,180.875
1.52,190.641
1.53,190.234
1.54,187.792
1.55,194.371
1.56,197.219
1.57,195.999
1.58,195.185
1.59,199.186
1.6,197.491
1.61,196.134
1.62,194.642
1.63,193.286
1.64,191.997
1.65,190.912
1.66,189.691
1.67,188.674
1.68,187.792
