# SYS: 107
# DIA: 76
# PPM: 72

Time,Pressure
0.0,2.374
0.01,2.374
0.02,2.374
0.03,2.374
0.04,2.306
0.05,2.374
0.06,2.306
0.07,2.374
0.08,2.374
0.09,2.306
0.1,2.442
0.11,2.306
0.12,2.374
0.13,2.374
0.14,2.306
0.15,2.374
0.16,2.306
0.17,2.374
0.18,2.374
0.19,2.306
0.2,2.374
0.21,2.374
0.22,2.374
0.23,2.374
0.24,2.374
0.25,2.442
0.26,2.306
0.27,2.374
0.28,2.306
0.29,2.306
0.3,2.17
0.31,2.035
0.32,1.967
0.33,1.831
0.34,1.763
0.35,1.763
0.36,1.628
0.37,1.628
0.38,1.492
0.39,1.492
0.4,1.424
0.41,1.356
0.42,1.424
0.43,1.356
0.44,1.356
0.45,1.424
0.46,1.424
0.47,1.492
0.48,1.492
0.49,1.492
0.5,1.492
0.51,1.56
0.52,1.492
0.53,1.56
0.54,1.628
0.55,1.56
0.56,1.56
0.57,1.628
0.58,1.56
0.59,1.695
0.6,1.899
0.61,3.12
0.62,5.697
0.63,7.528
0.64,7.528
0.65,9.563
0.66,13.496
0.67,11.529
0.68,8.884
0.69,13.157
0.7,18.786
0.71,17.497
0.72,13.632
0.73,17.158
0.74,23.94
0.75,23.737
0.76,19.736
0.77,22.177
0.78,29.637
0.79,30.994
0.8,26.653
0.81,28.349
0.82,36.216
0.83,38.522
0.84,34.588
0.85,35.673
0.86,43.608
0.87,47.406
0.88,44.897
0.89,43.472
0.9,49.983
0.91,56.019
0.92,53.917
0.93,52.153
0.94,59.003
0.95,65.514
0.96,64.022
0.97,61.987
0.98,68.498
0.99,75.958
1.0,74.873
1.01,72.499
1.02,78.874
1.03,87.216
1.04,86.741
1.05,83.961
1.06,90.471
1.07,99.017
1.08,98.474
1.09,95.558
1.1,102.136
1.11,111.089
1.12,110.342
1.13,107.901
1.14,114.547
1.15,122.889
1.16,122.143
1.17,119.973
1.18,126.823
1.19,134.825
1.2,134.147
1.21,132.791
1.22,139.776
1.23,147.236
1.24,146.083
1.25,145.27
1.26,152.594
1.27,159.24
1.28,157.748
1.29,157.816
1.3,165.548
1.31,171.109
1.32,169.074
1.33,170.566
1.34,178.772
1.35,183.316
1.36,180.4
1.37,182.842
1.38,192.065
1.39,194.507
1.4,190.641
1.41,195.253
1.42,203.594
1.43,198.101
1.44,198.101
1.45,203.052
1.46,200.746
1.47,199.051
1.48,197.898
1.49,196.541
1.5,195.456
1.51,194.439
1.52,193.489
1.53,192.54
1.54,191.658
1.55,190.844
1.56,190.031
1.57,189.285
1.58,188.606
1.59,187.928
1.6,187.25
1.61,186.64
1.62,185.961
1.63,185.419
1.64,184.741
1.65,184.266
1.66,183.655
1.67,183.113
1.68,182.638
1.69,182.096
1.7,181.621
1.71,181.078
1.72,180.536
1.73,180.197
1.74,179.722
1.75,179.315
1.76,178.84
1.77,178.366
1.78,178.026
1.79,177.552
1.8,177.213
1.81,176.738
1.82,176.331
1.83,175.992
1.84,175.585
1.85,175.246
1.86,174.839
1.87,174.432
1.88,174.161
1.89,173.754
1.9,173.347
1.91,173.008
1.92,172.669
1.93,172.33
1.94,171.923
1.95,171.651
1.96,171.312
1.97,170.905
1.98,170.702
1.99,170.295
2.0,170.024
2.01,169.685
2.02,169.413
2.03,169.074
2.04,168.735
2.05,168.464
2.06,168.193
2.07,167.854
2.08,167.65
2.09,167.311
2.1,167.175
2.11,166.972
2.12,166.701
2.13,166.497
2.14,166.158
2.15,165.887
2.16,165.548
2.17,165.209
2.18,164.869
2.19,164.53
2.2,164.259
2.21,163.92
2.22,163.649
2.23,163.445
2.24,163.038
2.25,162.903
2.26,162.564
2.27,162.292
2.28,162.021
2.29,161.75
2.3,161.546
2.31,161.207
2.32,161.004
2.33,160.732
2.34,160.393
2.35,160.258
2.36,159.919
2.37,159.715
2.38,159.444
2.39,159.105
2.4,158.901
2.41,158.562
2.42,158.291
2.43,158.02
2.44,157.681
2.45,157.477
2.46,157.07
2.47,156.867
2.48,156.663
2.49,156.392
2.5,156.189
2.51,155.917
2.52,155.714
2.53,155.51
2.54,155.171
2.55,154.968
2.56,154.764
2.57,154.493
2.58,154.29
2.59,154.018
2.6,153.883
2.61,153.611
2.62,153.408
2.63,153.137
2.64,152.865
2.65,152.798
2.66,152.458
2.67,152.323
2.68,152.119
2.69,151.848
2.7,151.712
2.71,151.441
2.72,151.306
2.73,151.034
2.74,150.831
2.75,150.695
2.76,150.424
2.77,150.288
2.78,150.22
2.79,150.153
2.8,150.153
2.81,149.949
2.82,149.881
2.83,149.746
2.84,149.474
2.85,149.271
2.86,149.067
2.87,148.864
2.88,148.661
2.89,148.321
2.9,148.186
2.91,147.915
2.92,147.779
2.93,147.575
2.94,147.304
2.95,147.169
2.96,146.897
2.97,146.762
2.98,146.558
2.99,146.287
3.0,146.151
3.01,145.948
3.02,145.744
3.03,145.609
3.04,145.405
3.05,145.202
3.06,144.998
3.07,144.795
3.08,144.524
3.09,144.32
3.1,144.184
3.11,143.913
3.12,143.845
3.13,143.574
3.14,143.438
3.15,143.303
3.16,143.032
3.17,142.896
3.18,142.692
3.19,142.489
3.2,142.421
3.21,142.15
3.22,142.014
3.23,141.879
3.24,141.675
3.25,141.607
3.26,141.336
3.27,141.2
3.28,140.997
3.29,140.793
3.3,140.658
3.31,140.454
3.32,140.319
3.33,140.115
3.34,139.912
3.35,139.776
3.36,139.573
3.37,139.437
3.38,139.234
3.39,139.03
3.4,138.962
3.41,138.759
3.42,138.623
3.43,138.42
3.44,138.284
3.45,138.149
3.46,137.945
3.47,137.945
3.48,137.877
3.49,137.877
