# SYS: 118
# DIA: 77
# PPM: 68

Time,Pressure
0.0,4.476
0.01,4.476
0.02,4.544
0.03,4.544
0.04,4.612
0.05,4.544
0.06,4.544
0.07,4.544
0.08,4.476
0.09,4.544
0.1,4.476
0.11,4.476
0.12,4.544
0.13,4.476
0.14,4.544
0.15,4.544
0.16,4.544
0.17,4.612
0.18,4.544
0.19,4.612
0.2,4.544
0.21,4.544
0.22,4.612
0.23,4.612
0.24,4.68
0.25,4.612
0.26,4.544
0.27,4.408
0.28,4.137
0.29,3.798
0.3,3.391
0.31,3.052
0.32,2.713
0.33,2.374
0.34,2.17
0.35,1.899
0.36,1.763
0.37,1.628
0.38,1.424
0.39,1.356
0.4,1.221
0.41,1.221
0.42,1.153
0.43,1.085
0.44,1.153
0.45,1.153
0.46,1.289
0.47,1.356
0.48,1.424
0.49,1.56
0.5,1.56
0.51,1.628
0.52,1.628
0.53,1.628
0.54,1.763
0.55,1.695
0.56,1.763
0.57,1.763
0.58,1.899
0.59,2.916
0.6,6.307
0.61,10.241
0.62,11.462
0.63,13.36
0.64,17.633
0.65,16.684
0.66,13.225
0.67,16.955
0.68,23.872
0.69,23.533
0.7,18.989
0.71,21.77
0.72,29.705
0.73,30.112
0.74,25.771
0.75,28.552
0.76,36.623
0.77,37.64
0.78,33.367
0.79,35.877
0.8,44.015
0.81,46.253
0.82,41.98
0.83,43.744
0.84,52.018
0.85,55.07
0.86,51.204
0.87,51.95
0.88,60.156
0.89,64.293
0.9,60.766
0.91,60.699
0.92,68.294
0.93,73.584
0.94,70.939
0.95,69.786
0.96,76.975
0.97,83.35
0.98,81.18
0.99,79.485
1.0,86.334
1.01,93.523
1.02,91.692
1.03,89.522
1.04,96.168
1.05,103.764
1.06,102.34
1.07,99.763
1.08,106.341
1.09,114.276
1.1,112.445
1.11,110.275
1.12,116.989
1.13,124.381
1.14,122.821
1.15,120.787
1.16,127.569
1.17,134.622
1.18,132.655
1.19,131.57
1.2,138.691
1.21,145.202
1.22,143.032
1.23,142.557
1.24,149.881
1.25,155.646
1.26,153.95
1.27,153.883
1.28,161.546
1.29,166.565
1.3,163.852
1.31,165.209
1.32,173.279
1.33,177.348
1.34,174.161
1.35,176.263
1.36,185.283
1.37,187.453
1.38,182.638
1.39,187.86
1.4,198.101
1.41,197.898
1.42,194.371
1.43,198.644
1.44,206.375
1.45,200.814
1.46,200.0
1.47,204.815
1.48,201.967
1.49,200.543
1.5,198.983
1.51,197.558
1.52,196.27
1.53,195.049
1.54,193.964
1.55,192.811
1.56,191.862
1.57,190.844
1.58,189.895
1.59,189.081
1.6,188.199
1.61,187.521
1.62,186.707
1.63,186.029
1.64,185.351
1.65,184.537
1.66,183.927
1.67,183.181
1.68,182.503
1.69,181.892
1.7,181.282
1.71,180.807
1.72,180.197
1.73,179.586
1.74,179.044
1.75,178.501
1.76,178.026
1.77,177.484
1.78,177.009
1.79,176.534
1.8,175.992
1.81,175.585
1.82,175.11
1.83,174.635
1.84,174.161
1.85,173.754
1.86,173.347
1.87,172.872
1.88,172.397
1.89,172.058
1.9,171.584
1.91,171.177
1.92,170.77
1.93,170.431
1.94,170.092
1.95,169.617
1.96,169.278
1.97,168.871
1.98,168.532
1.99,168.193
2.0,167.786
2.01,167.447
2.02,167.04
2.03,166.701
2.04,166.361
2.05,165.955
2.06,165.683
2.07,165.344
2.08,165.005
2.09,164.734
2.1,164.259
2.11,164.056
2.12,163.717
2.13,163.377
2.14,163.174
2.15,162.835
2.16,162.699
2.17,162.428
2.18,162.292
2.19,162.157
2.2,161.885
2.21,161.614
2.22,161.343
2.23,161.072
2.24,160.8
2.25,160.393
2.26,160.122
2.27,159.783
2.28,159.512
2.29,159.24
2.3,158.901
2.31,158.63
2.32,158.291
2.33,158.02
2.34,157.748
2.35,157.341
2.36,157.138
2.37,156.731
2.38,156.324
2.39,156.053
2.4,155.782
2.41,155.578
2.42,155.171
2.43,154.968
2.44,154.764
2.45,154.425
2.46,154.222
2.47,153.883
2.48,153.747
2.49,153.476
2.5,153.204
2.51,153.001
2.52,152.662
2.53,152.458
2.54,152.187
2.55,151.916
2.56,151.712
2.57,151.441
2.58,151.238
2.59,151.034
2.6,150.695
2.61,150.492
2.62,150.22
2.63,150.017
2.64,149.746
2.65,149.474
2.66,149.339
2.67,149.0
2.68,148.796
2.69,148.593
2.7,148.321
2.71,148.118
2.72,147.915
2.73,147.711
2.74,147.508
2.75,147.236
2.76,147.101
2.77,146.829
2.78,146.558
2.79,146.355
2.8,146.083
2.81,145.88
2.82,145.677
2.83,145.473
2.84,145.27
2.85,144.998
2.86,144.863
2.87,144.591
2.88,144.456
2.89,144.32
2.9,144.252
2.91,144.252
2.92,144.184
2.93,144.184
2.94,144.117
2.95,143.913
2.96,143.778
2.97,143.574
2.98,143.371
2.99,143.167
3.0,142.896
3.01,142.76
3.02,142.489
3.03,142.286
3.04,142.15
3.05,141.946
3.06,141.811
3.07,141.54
3.08,141.268
3.09,141.065
3.1,140.726
3.11,140.454
3.12,140.183
3.13,139.912
3.14,139.708
3.15,139.369
3.16,139.234
3.17,139.03
3.18,138.827
3.19,138.691
3.2,138.42
3.21,138.284
3.22,138.081
3.23,137.809
3.24,137.742
3.25,137.47
3.26,137.267
3.27,137.063
3.28,136.928
3.29,136.792
3.3,136.521
3.31,136.385
3.32,136.25
3.33,135.978
3.34,135.91
3.35,135.639
3.36,135.571
3.37,135.368
3.38,135.232
3.39,135.029
3.4,134.825
3.41,134.69
3.42,134.486
3.43,134.283
3.44,134.215
3.45,133.944
3.46,133.876
3.47,133.672
3.48,133.469
3.49,133.401
3.5,133.198
3.51,133.062
3.52,132.859
3.53,132.655
3.54,132.587
3.55,132.316
3.56,132.248
3.57,132.113
3.58,131.909
3.59,131.773
3.6,131.57
3.61,131.434
3.62,131.299
3.63,131.095
3.64,131.095
3.65,131.027
3.66,131.095
3.67,131.163
3.68,131.163
3.69,131.163
3.7,130.96
3.71,130.892
3.72,130.824
3.73,130.553
3.74,130.485
3.75,130.281
3.76,130.214
3.77,130.01
3.78,129.875
3.79,129.739
3.8,129.535
3.81,129.468
3.82,129.332
3.83,129.061
3.84,128.993
3.85,128.722
3.86,128.518
3.87,128.247
3.88,127.976
3.89,127.772
3.9,127.501
3.91,127.297
3.92,127.094
3.93,126.89
3.94,126.755
3.95,126.484
3.96,126.416
3.97,126.144
3.98,126.009
3.99,125.873
4.0,125.67
4.01,125.534
4.02,125.331
4.03,125.127
4.04,125.059
4.05,124.856
4.06,124.72
4.07,124.517
4.08,124.313
4.09,124.246
4.1,124.042
4.11,123.906
4.12,123.703
4.13,123.567
4.14,123.432
4.15,123.296
4.16,123.16
4.17,122.957
4.18,122.821
4.19,122.686
4.2,122.482
4.21,122.414
4.22,122.279
4.23,122.075
4.24,121.94
4.25,121.736
4.26,121.668
4.27,121.465
4.28,121.261
4.29,121.261
4.3,120.99
4.31,120.99
4.32,120.922
4.33,120.99
4.34,121.126
4.35,121.126
4.36,121.194
4.37,121.058
4.38,120.99
4.39,120.922
4.4,120.787
4.41,120.787
4.42,120.719
4.43,120.583
4.44,120.515
4.45,120.312
4.46,120.176
4.47,120.041
4.48,119.905
4.49,119.769
4.5,119.498
4.51,119.43
4.52,119.159
4.53,118.888
4.54,118.752
4.55,118.413
4.56,118.277
4.57,117.938
4.58,117.735
4.59,117.599
4.6,117.328
4.61,117.192
4.62,116.989
4.63,116.853
4.64,116.785
4.65,116.582
4.66,116.446
4.67,116.243
4.68,116.107
4.69,115.972
4.7,115.768
4.71,115.632
4.72,115.429
4.73,115.293
4.74,115.226
4.75,114.954
4.76,114.886
4.77,114.683
4.78,114.547
4.79,114.479
4.8,114.276
4.81,114.208
4.82,114.005
4.83,113.869
4.84,113.801
4.85,113.598
4.86,113.53
4.87,113.327
4.88,113.259
4.89,113.123
4.9,112.92
4.91,112.852
4.92,112.648
4.93,112.513
4.94,112.377
4.95,112.309
4.96,112.241
4.97,112.174
4.98,112.241
4.99,112.445
5.0,112.513
5.01,112.648
5.02,112.581
5.03,112.581
5.04,112.581
5.05,112.513
5.06,112.513
5.07,112.377
5.08,112.241
5.09,112.174
5.1,111.97
5.11,111.902
5.12,111.699
5.13,111.631
5.14,111.495
5.15,111.292
5.16,111.156
5.17,110.953
5.18,110.885
5.19,110.682
5.2,110.41
5.21,110.275
5.22,110.003
5.23,109.936
5.24,109.732
5.25,109.529
5.26,109.393
5.27,109.257
5.28,109.122
5.29,108.918
5.3,108.783
5.31,108.715
5.32,108.511
5.33,108.376
5.34,108.172
5.35,108.037
5.36,107.901
5.37,107.698
5.38,107.562
5.39,107.358
5.4,107.223
5.41,107.155
5.42,106.952
5.43,106.816
5.44,106.68
5.45,106.477
5.46,106.409
5.47,106.273
5.48,106.138
5.49,106.002
5.5,105.866
5.51,105.799
5.52,105.595
5.53,105.595
5.54,105.392
5.55,105.256
5.56,105.188
5.57,104.985
5.58,104.917
5.59,104.781
5.6,104.646
5.61,104.646
5.62,104.374
5.63,104.374
5.64,104.307
5.65,104.442
5.66,104.646
