# SYS: 126
# DIA: 82
# PPM: 57

Time,Pressure
0.0,4.273
0.01,4.205
0.02,4.273
0.03,4.205
0.04,4.205
0.05,4.273
0.06,4.205
0.07,4.273
0.08,4.273
0.09,4.205
0.1,4.273
0.11,4.205
0.12,4.273
0.13,4.273
0.14,4.205
0.15,4.34
0.16,4.205
0.17,4.34
0.18,4.273
0.19,4.273
0.2,4.34
0.21,4.273
0.22,4.273
0.23,4.273
0.24,4.273
0.25,4.34
0.26,4.273
0.27,4.273
0.28,4.137
0.29,4.069
0.3,4.001
0.31,3.73
0.32,3.594
0.33,3.391
0.34,3.255
0.35,3.052
0.36,2.848
0.37,2.781
0.38,2.713
0.39,2.577
0.4,2.577
0.41,2.442
0.42,2.442
0.43,2.374
0.44,2.442
0.45,2.509
0.46,2.509
0.47,2.577
0.48,2.509
0.49,2.577
0.5,2.645
0.51,2.577
0.52,2.713
0.53,2.645
0.54,2.645
0.55,2.713
0.56,2.645
0.57,2.713
0.58,2.713
0.59,2.916
0.6,3.73
0.61,5.358
0.62,8.817
0.63,10.309
0.64,9.02
0.65,10.309
0.66,15.531
0.67,17.362
0.68,13.36
0.69,13.428
0.7,20.346
0.71,23.669
0.72,20.075
0.73,19.057
0.74,25.568
0.75,29.773
0.76,26.924
0.77,25.432
0.78,31.061
0.79,36.216
0.8,34.385
0.81,32.011
0.82,37.03
0.83,43.269
0.84,42.319
0.85,39.268
0.86,43.676
0.87,51.0
0.88,50.865
0.89,47.202
0.9,51.0
0.91,58.732
0.92,59.681
0.93,56.155
0.94,59.613
0.95,67.481
0.96,68.973
0.97,65.785
0.98,68.633
0.99,76.84
1.0,79.281
1.01,76.297
1.02,78.671
1.03,86.741
1.04,90.2
1.05,87.691
1.06,89.454
1.07,97.525
1.08,102.001
1.09,99.966
1.1,101.255
1.11,108.85
1.12,114.276
1.13,112.784
1.14,113.394
1.15,120.583
1.16,126.484
1.17,125.398
1.18,125.466
1.19,132.859
1.2,138.759
1.21,137.47
1.22,137.742
1.23,144.93
1.24,150.424
1.25,148.796
1.26,149.949
1.27,157.477
1.28,162.564
1.29,161.072
1.3,162.564
1.31,170.566
1.32,175.517
1.33,173.483
1.34,175.517
1.35,183.791
1.36,187.657
1.37,185.012
1.38,187.453
1.39,196.202
1.4,199.186
1.41,197.626
1.42,199.39
1.43,208.749
1.44,202.577
1.45,203.323
1.46,206.918
1.47,205.358
1.48,203.255
1.49,202.238
1.5,200.882
1.51,199.729
1.52,198.711
1.53,197.694
1.54,196.88
1.55,195.931
1.56,195.117
1.57,194.439
1.58,193.557
1.59,192.879
1.6,192.201
1.61,191.455
1.62,190.912
1.63,190.166
1.64,189.624
1.65,188.945
1.66,188.403
1.67,187.86
1.68,187.182
1.69,186.707
1.7,186.165
1.71,185.622
1.72,185.148
1.73,184.605
1.74,184.198
1.75,183.655
1.76,183.181
1.77,182.842
1.78,182.299
1.79,181.892
1.8,181.417
1.81,181.011
1.82,180.604
1.83,180.129
1.84,179.79
1.85,179.383
1.86,178.976
1.87,178.637
1.88,178.162
1.89,177.891
1.9,177.552
1.91,177.348
1.92,177.28
1.93,177.009
1.94,176.874
1.95,176.534
1.96,176.128
1.97,175.856
1.98,175.381
1.99,175.11
2.0,174.771
2.01,174.364
2.02,174.093
2.03,173.686
2.04,173.415
2.05,173.076
2.06,172.737
2.07,172.465
2.08,171.991
2.09,171.651
2.1,171.312
2.11,170.905
2.12,170.702
2.13,170.295
2.14,170.024
2.15,169.752
2.16,169.413
2.17,169.21
2.18,168.871
2.19,168.667
2.2,168.328
2.21,168.057
2.22,167.854
2.23,167.514
2.24,167.243
2.25,166.972
2.26,166.701
2.27,166.497
2.28,166.158
2.29,165.955
2.3,165.615
2.31,165.344
2.32,165.141
2.33,164.869
2.34,164.598
2.35,164.327
2.36,164.123
2.37,163.92
2.38,163.581
2.39,163.377
2.4,163.106
2.41,162.903
2.42,162.699
2.43,162.36
2.44,162.157
2.45,161.885
2.46,161.682
2.47,161.478
2.48,161.207
2.49,161.139
2.5,161.072
2.51,161.072
2.52,161.072
2.53,160.868
2.54,160.732
2.55,160.529
2.56,160.326
2.57,160.122
2.58,159.851
2.59,159.783
2.6,159.58
2.61,159.444
2.62,159.308
2.63,159.105
2.64,158.901
2.65,158.698
2.66,158.494
2.67,158.223
2.68,157.952
2.69,157.681
2.7,157.341
2.71,157.07
2.72,156.867
2.73,156.528
2.74,156.324
2.75,156.053
2.76,155.782
2.77,155.646
2.78,155.307
2.79,155.171
2.8,154.832
2.81,154.697
2.82,154.493
2.83,154.154
2.84,154.018
2.85,153.747
2.86,153.544
2.87,153.34
2.88,153.069
2.89,152.933
2.9,152.662
2.91,152.458
2.92,152.255
2.93,152.052
2.94,151.916
2.95,151.645
2.96,151.441
2.97,151.306
2.98,150.966
2.99,150.899
3.0,150.627
3.01,150.424
3.02,150.288
3.03,150.085
3.04,149.949
3.05,149.678
3.06,149.542
3.07,149.339
3.08,149.067
3.09,149.0
3.1,148.728
3.11,148.593
3.12,148.389
3.13,148.186
3.14,148.05
3.15,147.779
3.16,147.711
3.17,147.847
3.18,147.847
3.19,147.982
3.2,147.847
3.21,147.779
3.22,147.711
3.23,147.575
3.24,147.575
3.25,147.372
3.26,147.236
3.27,147.101
3.28,146.897
3.29,146.829
3.3,146.626
3.31,146.49
3.32,146.355
3.33,146.016
3.34,145.88
3.35,145.677
3.36,145.473
3.37,145.202
3.38,144.93
3.39,144.727
3.4,144.456
3.41,144.252
3.42,144.049
3.43,143.845
3.44,143.71
3.45,143.506
3.46,143.371
3.47,143.167
3.48,142.896
3.49,142.828
3.5,142.557
3.51,142.421
3.52,142.218
3.53,142.014
3.54,141.879
3.55,141.675
3.56,141.404
3.57,141.268
3.58,141.065
3.59,140.861
3.6,140.658
3.61,140.522
3.62,140.319
3.63,140.115
3.64,139.912
3.65,139.708
3.66,139.505
3.67,139.369
3.68,139.098
3.69,139.03
3.7,138.827
3.71,138.691
3.72,138.488
3.73,138.216
3.74,138.149
3.75,137.945
3.76,137.742
3.77,137.674
3.78,137.47
3.79,137.403
3.8,137.131
3.81,136.996
3.82,136.86
3.83,136.656
3.84,136.589
3.85,136.317
3.86,136.182
3.87,136.114
3.88,135.91
3.89,135.775
3.9,135.571
3.91,135.639
3.92,135.639
3.93,135.775
3.94,135.843
3.95,135.843
3.96,135.91
3.97,135.843
3.98,135.707
3.99,135.639
4.0,135.436
4.01,135.368
4.02,135.232
4.03,135.029
4.04,134.961
4.05,134.758
4.06,134.622
4.07,134.486
4.08,134.283
4.09,134.147
4.1,133.944
4.11,133.74
4.12,133.537
4.13,133.333
4.14,133.198
4.15,132.859
4.16,132.791
4.17,132.587
4.18,132.384
4.19,132.316
4.2,132.113
4.21,132.045
4.22,131.841
4.23,131.706
4.24,131.57
4.25,131.299
4.26,131.231
4.27,131.095
4.28,130.892
4.29,130.756
4.3,130.553
4.31,130.417
4.32,130.214
4.33,130.078
4.34,129.942
4.35,129.671
4.36,129.535
4.37,129.332
4.38,129.196
4.39,129.061
4.4,128.857
4.41,128.789
4.42,128.586
4.43,128.315
4.44,128.247
4.45,128.043
4.46,127.976
4.47,127.704
4.48,127.569
4.49,127.501
4.5,127.297
4.51,127.23
4.52,126.958
4.53,126.89
4.54,126.755
4.55,126.551
4.56,126.416
4.57,126.212
4.58,126.144
4.59,126.077
4.6,126.077
4.61,126.212
4.62,126.348
4.63,126.484
4.64,126.484
4.65,126.28
4.66,126.28
4.67,126.144
4.68,126.077
4.69,125.941
