# PPM: 75

Time,Pulse
0.0,13351
0.04,11023
0.08,11640
0.12,12269
0.16,13037
0.2,13277
0.24,12515
0.28,12475
0.32,12678
0.36,12784
0.4,12957
0.44,12953
0.48,12892
0.52,12989
0.56,13077
0.6,12862
0.64,12908
0.68,12936
0.72,13476
0.76,14299
0.8,14028
0.84,12978
0.88,12676
0.92,12360
0.96,12858
1.0,13233
1.04,13098
1.08,12763
1.12,12697
1.16,12729
1.2,12831
1.24,12915
1.28,12960
1.32,13024
1.36,12930
1.4,13284
1.44,12913
1.48,12917
1.52,12917
1.56,13118
1.6,13240
1.64,13971
1.68,13794
1.72,13174
1.76,12692
1.8,12661
1.84,12895
1.88,13199
1.92,13240
1.96,12720
2.0,12710
2.04,12944
2.08,12943
2.12,12891
2.16,12995
2.2,13219
2.24,13033
2.28,12981
2.32,13041
2.36,13058
2.4,13156
2.44,12978
2.48,13468
2.52,13776
2.56,13519
2.6,12918
2.64,12788
2.68,12689
2.72,13123
2.76,13229
2.8,13585
2.84,12751
2.88,12733
2.92,12835
2.96,12978
3.0,13029
3.04,12992
3.08,13025
3.12,13051
3.16,13020
3.2,13003
3.24,13058
3.28,13049
3.32,13547
3.36,13615
3.4,13242
3.44,12850
3.48,12849
3.52,12857
3.56,13165
3.6,13167
3.64,13052
3.68,12940
3.72,12943
3.76,12949
3.8,13144
3.84,13014
3.88,13005
3.92,13110
3.96,13080
4.0,13105
4.04,13053
4.08,13044
4.12,13101
4.16,13531
4.2,13450
4.24,13142
4.28,12931
4.32,12932
4.36,12981
4.4,13165
4.44,13058
4.48,13060
4.52,12979
4.56,13030
4.6,13092
4.64,13072
4.68,12952
4.72,13084
4.76,13100
4.8,13108
4.84,13040
4.88,13053
4.92,13107
4.96,13164
5.0,13391
5.04,13487
5.08,13212
5.12,12929
5.16,12901
5.2,12932
5.24,13256
5.28,13198
5.32,13090
5.36,12895
5.4,13017
5.44,13006
5.48,12992
5.52,12937
5.56,13119
5.6,13113
5.64,13120
5.68,13086
5.72,13069
5.76,13313
5.8,13028
5.84,13309
5.88,13340
5.92,13224
5.96,12905
6.0,12874
6.04,13048
6.08,13127
6.12,13106
6.16,13061
6.2,13020
6.24,13138
6.28,12988
6.32,13053
6.36,13012
6.4,12926
6.44,12953
6.48,13190
6.52,13113
6.56,13113
6.6,13082
6.64,13135
6.68,13227
6.72,13257
6.76,13114
6.8,13078
6.84,13011
6.88,13077
6.92,13259
6.96,13032
7.0,13073
7.04,13144
7.08,13081
7.12,13070
7.16,13106
7.2,13062
7.24,13162
7.28,13107
7.32,13112
7.36,13086
7.4,13161
7.44,13072
7.48,13139
7.52,13094
7.56,13258
7.6,13169
7.64,13082
7.68,13066
7.72,13081
7.76,13171
7.8,13181
7.84,13211
7.88,13063
7.92,13097
7.96,13098
8.0,13140
8.04,13141
8.08,13160
8.12,13068
8.16,13158
8.2,13112
8.24,13121
8.28,13065
8.32,13126
8.36,13219
8.4,13317
8.44,13109
8.48,13047
8.52,13004
8.56,13165
8.6,13096
8.64,13122
8.68,13096
8.72,13017
8.76,13127
8.8,13115
8.84,13124
8.88,15140
8.92,12470
8.96,12026
9.0,12914
9.04,13300
9.08,13260
9.12,13121
9.16,13008
9.2,13109
9.24,13141
9.28,13103
9.32,13122
9.36,13177
9.4,13072
9.44,13213
9.48,13269
9.52,12995
9.56,13025
9.6,13168
9.64,13140
9.68,13171
9.72,13116
9.76,13142
9.8,13116
9.84,13121
9.88,13047
9.92,13193
9.96,13096
10.0,13122
10.04,13080
10.08,12862
10.12,13005
10.16,13237
10.2,13109
10.24,13112
10.28,13171
10.32,13071
10.36,8439
10.4,8885
10.44,12593
10.48,14256
10.52,13935
10.56,13286
10.6,13220
10.64,13148
10.68,13338
10.72,13266
10.76,13341
10.8,13305
10.84,13322
10.88,13264
10.92,13427
10.96,13435
11.0,13226
11.04,13282
11.08,13480
11.12,13318
11.16,13303
11.2,13377
11.24,13360
11.28,13366
11.32,13341
11.36,13394
11.4,13302
11.44,13387
11.48,13345
11.52,13421
11.56,13349
11.6,13424
11.64,13412
11.68,13489
11.72,13427
11.76,13473
11.8,13260
11.84,13311
11.88,13519
11.92,13465
11.96,13535
12.0,13401
12.04,13333
12.08,13415
12.12,13420
12.16,13353
12.2,13359
12.24,13350
12.28,13563
12.32,13354
12.36,13425
12.4,13308
12.44,13412
12.48,13305
12.52,13392
12.56,13379
12.6,13488
12.64,13351
12.68,13555
12.72,13376
12.76,13366
12.8,13337
12.84,13358
12.88,13422
12.92,13445
12.96,13419
13.0,13409
13.04,13464
13.08,13383
13.12,13402
13.16,13378
13.2,13507
13.24,13335
13.28,13448
13.32,13379
13.36,13470
13.4,13479
13.44,13514
13.48,13280
13.52,13429
13.56,13263
13.6,13505
13.64,13416
13.68,13375
13.72,13416
13.76,13443
13.8,13501
13.84,13379
13.88,13312
13.92,13442
13.96,13542
14.0,13540
14.04,13370
14.08,13209
14.12,13421
14.16,13330
14.2,13537
14.24,13439
14.28,13429
14.32,13587
14.36,13371
14.4,13350
14.44,13411
14.48,13369
14.52,13493
14.56,13391
14.6,13378
14.64,13565
14.68,13542
14.72,13402
14.76,13318
14.8,13416
14.84,13369
14.88,13443
14.92,13370
14.96,13508
15.0,13544
15.04,13611
15.08,13426
15.12,13728
15.16,13454
15.2,13413
15.24,13405
15.28,13523
15.32,13464
15.36,13384
15.4,13264
15.44,13407
15.48,13575
15.52,13529
15.56,13458
15.6,13430
15.64,13420
15.68,13399
15.72,13564
15.76,13560
15.8,13580
15.84,13488
15.88,13566
15.92,13539
15.96,13496
16.0,13317
16.04,13444
16.08,13455
16.12,13500
16.16,13204
16.2,13100
16.24,13201
16.28,13426
16.32,13538
16.36,13519
16.4,13495
16.44,13430
16.48,13472
16.52,13529
16.56,13595
16.6,13508
16.64,13623
16.68,13652
16.72,13548
16.76,13474
16.8,13499
16.84,13388
16.88,13418
16.92,13384
16.96,13451
17.0,13408
17.04,13465
17.08,13273
17.12,12851
17.16,13067
17.2,13375
17.24,13588
17.28,13592
17.32,13528
17.36,13319
17.4,13467
17.44,13471
17.48,13472
17.52,13485
17.56,13643
17.6,13297
17.64,13348
17.68,13407
17.72,13587
17.76,13472
17.8,13506
17.84,13471
17.88,13551
17.92,13390
17.96,13088
18.0,13043
18.04,13356
18.08,13531
18.12,13583
18.16,13578
18.2,13420
18.24,13555
18.28,13515
18.32,13551
18.36,13844
18.4,13323
18.44,13232
18.48,13578
18.52,13487
18.56,13478
18.6,13428
18.64,13565
18.68,13411
18.72,13311
18.76,13381
18.8,13034
18.84,13031
18.88,13230
18.92,13564
18.96,13582
19.0,13899
19.04,13501
19.08,13458
19.12,13447
19.16,13784
19.2,13512
19.24,13403
19.28,13372
19.32,13558
19.36,13600
19.4,13565
