# PPM: 75

Time,Pulse
0.0,17402
0.04,13922
0.08,13318
0.12,13379
0.16,12288
0.2,12856
0.24,12267
0.28,11400
0.32,11188
0.36,11258
0.4,11000
0.44,10646
0.48,10834
0.52,10864
0.56,10944
0.6,10536
0.64,10685
0.68,10740
0.72,12132
0.76,15614
0.8,17029
0.84,15771
0.88,15382
0.92,13781
0.96,12508
1.0,12507
1.04,12406
1.08,15612
1.12,11744
1.16,8098
1.2,9620
1.24,10736
1.28,11269
1.32,10940
1.36,11014
1.4,10758
1.44,11157
1.48,11001
1.52,11008
1.56,11044
1.6,11442
1.64,14285
1.68,16095
1.72,16143
1.76,15436
1.8,14716
1.84,12567
1.88,12723
1.92,12618
1.96,12446
2.0,11984
2.04,11919
2.08,11434
2.12,11668
2.16,11349
2.2,11434
2.24,11280
2.28,11249
2.32,11428
2.36,11557
2.4,11457
2.44,11622
2.48,11605
2.52,12921
2.56,12199
2.6,14232
2.64,15098
2.68,14812
2.72,14783
2.76,13655
2.8,13383
2.84,13169
2.88,13342
2.92,12735
2.96,12923
3.0,12019
3.04,11766
3.08,11500
3.12,11755
3.16,11836
3.2,11924
3.24,11707
3.28,11993
3.32,11788
3.36,11700
3.4,12207
3.44,13511
3.48,15093
3.52,15273
3.56,15275
3.6,14193
3.64,13266
3.68,13061
3.72,13542
3.76,12954
3.8,13148
3.84,12548
3.88,12279
3.92,11750
3.96,12032
4.0,11911
4.04,12045
4.08,11752
4.12,11973
4.16,11974
4.2,11878
4.24,11977
4.28,13041
4.32,15616
4.36,16130
4.4,15553
4.44,14778
4.48,14090
4.52,13317
4.56,13688
4.6,13048
4.64,13433
4.68,12776
4.72,12409
4.76,11655
4.8,11889
4.84,11610
4.88,11913
4.92,11436
4.96,12046
5.0,11769
5.04,11874
5.08,11650
5.12,12928
5.16,15366
5.2,16174
5.24,15751
5.28,14861
5.32,13985
5.36,13294
5.4,14032
5.44,13351
5.48,13469
5.52,12384
5.56,11875
5.6,11385
5.64,11567
5.68,11223
5.72,11846
5.76,11705
5.8,11818
5.84,12093
5.88,11603
5.92,12971
5.96,16063
6.0,16168
6.04,15309
6.08,14245
6.12,12688
6.16,12860
6.2,12828
6.24,12608
6.28,12582
6.32,12301
6.36,11341
6.4,11208
6.44,11078
6.48,11586
6.52,11725
6.56,11853
6.6,11713
6.64,12153
6.68,11600
6.72,13493
6.76,15799
6.8,15722
6.84,14346
6.88,14197
6.92,12718
6.96,13009
7.0,12687
7.04,12677
7.08,12390
7.12,12135
7.16,11317
7.2,11407
7.24,11510
7.28,11634
7.32,11651
7.36,11838
7.4,11797
7.44,12051
7.48,11803
7.52,11696
7.56,13787
7.6,14987
7.64,14867
7.68,14179
7.72,13738
7.76,12612
7.8,13162
7.84,12715
7.88,12790
7.92,12446
7.96,12264
8.0,11538
8.04,11828
8.08,11744
8.12,11914
8.16,11838
8.2,12023
8.24,11952
8.28,11961
8.32,11864
8.36,12170
8.4,13803
8.44,14287
8.48,14235
8.52,13562
8.56,13205
8.6,12502
8.64,13240
8.68,12540
8.72,12684
8.76,12661
8.8,12467
8.84,11978
8.88,12279
8.92,11981
8.96,12132
9.0,12146
9.04,12195
9.08,12377
9.12,12196
9.16,12212
9.2,12208
9.24,12529
9.28,13683
9.32,13953
9.36,13961
9.4,13741
9.44,13039
9.48,13128
9.52,13033
9.56,12914
9.6,12847
9.64,13092
9.68,12394
9.72,12397
9.76,12381
9.8,12596
9.84,12239
9.88,12667
9.92,12289
9.96,12355
10.0,12410
10.04,12405
10.08,12351
10.12,12614
10.16,13508
10.2,14214
10.24,14184
10.28,13975
10.32,13738
10.36,7540
10.4,5875
10.44,11480
10.48,14608
10.52,14288
10.56,13152
10.6,12588
10.64,12806
10.68,12889
10.72,12783
10.76,12974
10.8,12826
10.84,12544
10.88,12860
10.92,12744
10.96,13255
11.0,14171
11.04,14484
11.08,14627
11.12,14187
11.16,13727
11.2,13504
11.24,13534
11.28,13093
11.32,13614
11.36,13058
11.4,12680
11.44,12454
11.48,12448
11.52,12323
11.56,12516
11.6,12467
11.64,12668
11.68,12562
11.72,12841
11.76,14119
11.8,15111
11.84,14909
11.88,14716
11.92,14393
11.96,12834
12.0,13459
12.04,13016
12.08,13454
12.12,13270
12.16,12758
12.2,12056
12.24,12553
12.28,12022
12.32,12433
12.36,12129
12.4,12413
12.44,12345
12.48,12527
12.52,12740
12.56,14605
12.6,15121
12.64,14697
12.68,14726
12.72,13547
12.76,13136
12.8,13213
12.84,13307
12.88,12870
12.92,12897
12.96,12328
13.0,12060
13.04,12027
13.08,12407
13.12,12382
13.16,12133
13.2,12178
13.24,12483
13.28,12456
13.32,13623
13.36,14096
13.4,14189
13.44,13545
13.48,13059
13.52,13026
13.56,12712
13.6,12753
13.64,12666
13.68,12783
13.72,12300
13.76,12279
13.8,12160
13.84,12701
13.88,12521
13.92,12569
13.96,12271
14.0,12482
14.04,12882
14.08,13985
14.12,13964
14.16,13650
14.2,13557
14.24,13227
14.28,12759
14.32,12905
14.36,12982
14.4,12772
14.44,12972
14.48,12622
14.52,12470
14.56,12536
14.6,12706
14.64,12561
14.68,12761
14.72,12793
14.76,12708
14.8,12680
14.84,13233
14.88,13025
14.92,13616
14.96,13581
15.0,13789
15.04,13386
15.08,13342
15.12,13104
15.16,13408
15.2,13130
15.24,13249
15.28,13155
15.32,12983
15.36,12929
15.4,12688
15.44,12803
15.48,12832
15.52,12965
15.56,13105
15.6,12695
15.64,12851
15.68,12969
15.72,12857
15.76,13631
15.8,13769
15.84,14081
15.88,13575
15.92,13430
15.96,13426
16.0,13613
16.04,13401
16.08,13351
16.12,13183
16.16,13061
16.2,13011
16.24,12815
16.28,12983
16.32,12927
16.36,13058
16.4,12823
16.44,13010
16.48,12681
16.52,13356
16.56,14214
16.6,14468
16.64,14376
16.68,14089
16.72,13827
16.76,13556
16.8,13403
16.84,13259
16.88,13270
16.92,13227
16.96,13059
17.0,13253
17.04,12794
17.08,12771
17.12,12749
17.16,12892
17.2,12904
17.24,12716
17.28,12949
17.32,12648
17.36,13595
17.4,14775
17.44,14765
17.48,14531
17.52,14353
17.56,13855
17.6,13943
17.64,13573
17.68,13547
17.72,13384
17.76,12854
17.8,12803
17.84,12584
17.88,12774
17.92,12544
17.96,13325
18.0,12551
18.04,12480
18.08,12501
18.12,12974
18.16,13977
18.2,15100
18.24,14713
18.28,14372
18.32,13657
18.36,13408
18.4,13827
18.44,13034
18.48,12758
18.52,12923
18.56,12469
18.6,12042
