# PPM: 75

Time,Pulse
0.0,-2606
0.04,10342
0.08,11544
0.12,12549
0.16,12952
0.2,12611
0.24,12714
0.28,12594
0.32,12788
0.36,12792
0.4,12845
0.44,12762
0.48,12855
0.52,12810
0.56,12843
0.6,12970
0.64,12840
0.68,12904
0.72,12867
0.76,12960
0.8,12858
0.84,13034
0.88,15323
0.92,11826
0.96,11720
1.0,12748
1.04,13078
1.08,13163
1.12,12883
1.16,12990
1.2,12880
1.24,13098
1.28,12910
1.32,13081
1.36,12863
1.4,13116
1.44,12922
1.48,12937
1.52,12912
1.56,13036
1.6,13003
1.64,13010
1.68,12933
1.72,12992
1.76,12992
1.8,12925
1.84,13029
1.88,12987
1.92,13059
1.96,12937
2.0,13122
2.04,12993
2.08,13131
2.12,12985
2.16,13117
2.2,12984
2.24,13121
2.28,12928
2.32,13097
2.36,12977
2.4,13179
2.44,12976
2.48,13055
2.52,12999
2.56,13056
2.6,13030
2.64,13062
2.68,13055
2.72,13002
2.76,13073
2.8,13724
2.84,13042
2.88,12897
2.92,13063
2.96,12997
3.0,13146
3.04,13039
3.08,13176
3.12,12965
3.16,13136
3.2,13051
3.24,13114
3.28,12980
3.32,13139
3.36,13001
3.4,13115
3.44,13055
3.48,13104
3.52,13070
3.56,13071
3.6,13162
3.64,13111
3.68,13163
3.72,13025
3.76,13133
3.8,13003
3.84,13217
3.88,13029
3.92,13183
3.96,12953
4.0,13225
4.04,12987
4.08,13156
4.12,13004
4.16,13146
4.2,13026
4.24,13106
4.28,13052
4.32,13167
4.36,13171
4.4,13143
4.44,13123
4.48,13064
4.52,13134
4.56,13031
4.6,13150
4.64,13073
4.68,13150
4.72,13005
4.76,13153
4.8,13001
4.84,13198
4.88,12983
4.92,13159
4.96,12975
5.0,13197
5.04,13050
5.08,13103
5.12,13080
5.16,13203
5.2,13123
5.24,13138
5.28,13063
5.32,13098
5.36,13159
5.4,13073
5.44,13157
5.48,12969
5.52,13157
5.56,13050
5.6,13151
5.64,13079
5.68,13177
5.72,12929
5.76,13097
5.8,12970
5.84,13183
5.88,13043
5.92,13224
5.96,13150
6.0,13173
6.04,13128
6.08,13127
6.12,13104
6.16,13059
6.2,13152
6.24,13062
6.28,13148
6.32,13071
6.36,13152
6.4,13024
6.44,13250
6.48,13009
6.52,13119
6.56,13000
6.6,13181
6.64,13025
6.68,13123
6.72,12996
6.76,13179
6.8,13099
6.84,13235
6.88,13124
6.92,13162
6.96,13114
7.0,13104
7.04,13168
7.08,13118
7.12,13130
7.16,13041
7.2,13168
7.24,13135
7.28,13125
7.32,13010
7.36,13194
7.4,13043
7.44,13191
7.48,13020
7.52,13212
7.56,13000
7.6,13196
7.64,13074
7.68,13214
7.72,13102
7.76,13301
7.8,13061
7.84,13091
7.88,13137
7.92,13111
7.96,13117
8.0,13108
8.04,13125
8.08,13040
8.12,13150
8.16,13034
8.2,13185
8.24,13039
8.28,13178
8.32,13015
8.36,13209
8.4,12992
8.44,13185
8.48,13071
8.52,13220
8.56,13117
8.6,13190
8.64,13105
8.68,13179
8.72,13073
8.76,13091
8.8,13142
8.84,13096
8.88,13174
8.92,12974
8.96,13169
9.0,13100
9.04,13212
9.08,12967
9.12,13092
