
Time,Pulse
0.0,32767
0.04,32767
0.08,32767
0.12,32767
0.16,32767
0.2,32767
0.24,32767
0.28,32767
0.32,32767
0.36,32767
0.4,32767
0.44,32767
0.48,32767
0.52,32767
0.56,32767
0.6,32767
0.64,32767
0.68,32767
0.72,32767
0.76,32767
0.8,32767
0.84,32767
0.88,32767
0.92,32767
0.96,32767
1.0,32767
1.04,32767
1.08,32767
1.12,32767
1.16,32767
1.2,32767
1.24,32767
1.28,32767
1.32,32767
1.36,32767
1.4,32767
1.44,32767
1.48,32767
1.52,32767
1.56,32767
1.6,32767
1.64,32767
1.68,32767
1.72,32767
1.76,32767
1.8,32767
1.84,32767
1.88,32767
1.92,32767
1.96,32767
2.0,32767
2.04,32767
2.08,32767
2.12,32767
2.16,32767
2.2,32767
2.24,32767
2.28,32767
2.32,32767
2.36,32767
2.4,32767
2.44,32767
2.48,32767
2.52,32767
2.56,32767
2.6,32767
2.64,32767
2.68,32767
2.72,32767
2.76,32767
2.8,32767
2.84,32767
2.88,32767
2.92,32767
2.96,32767
3.0,32767
3.04,32767
3.08,32767
3.12,32767
3.16,32767
3.2,32767
3.24,32767
3.28,32767
3.32,32767
3.36,32767
3.4,32767
3.44,32767
3.48,32767
3.52,32767
3.56,32767
3.6,32767
3.64,32767
3.68,32767
3.72,32767
3.76,32767
3.8,32767
3.84,32767
3.88,32767
3.92,32767
3.96,32767
4.0,32767
4.04,32767
4.08,32767
4.12,32767
4.16,32767
4.2,32767
4.24,32767
4.28,32767
4.32,32767
4.36,32767
4.4,32767
4.44,32767
4.48,32767
4.52,32767
4.56,32767
4.6,32767
4.64,32767
4.68,32767
4.72,32767
4.76,32767
4.8,32767
4.84,32767
4.88,32767
4.92,32767
4.96,32767
5.0,32767
5.04,32767
5.08,32767
5.12,32767
5.16,32767
5.2,32767
5.24,32767
5.28,32767
5.32,32767
5.36,32767
5.4,32767
5.44,32767
5.48,32767
5.52,32767
5.56,32767
5.6,32767
5.64,32767
5.68,32767
5.72,32767
5.76,32767
5.8,32767
5.84,32767
5.88,32767
5.92,32767
5.96,32767
6.0,32767
6.04,32767
6.08,32767
6.12,32767
6.16,32767
6.2,32767
6.24,32767
