# PPM: 66

Time,Pulse
0.0,13845
0.04,9525
0.08,11079
0.12,12878
0.16,13239
0.2,12732
0.24,12769
0.28,12520
0.32,12758
0.36,12693
0.4,12835
0.44,12648
0.48,15129
0.52,13037
0.56,10722
0.6,11541
0.64,12885
0.68,13105
0.72,13296
0.76,12768
0.8,12837
0.84,12916
0.88,13009
0.92,12988
0.96,12753
1.0,12718
1.04,12644
1.08,12775
1.12,12762
1.16,12890
1.2,12682
1.24,12700
1.28,12418
1.32,13111
1.36,12622
1.4,12815
1.44,12706
1.48,12932
1.52,12785
1.56,12869
1.6,12884
1.64,12943
1.68,12880
1.72,13040
1.76,12749
1.8,12850
1.84,12731
1.88,12654
1.92,12868
1.96,12808
2.0,13048
2.04,12641
2.08,12704
2.12,12628
2.16,12855
2.2,12727
2.24,12936
2.28,12755
2.32,12955
2.36,12816
2.4,12992
2.44,12718
2.48,12847
2.52,13058
2.56,12875
2.6,12751
2.64,12767
2.68,12848
2.72,13948
2.76,12788
2.8,12103
2.84,12572
2.88,12838
2.92,12941
2.96,12801
3.0,12885
3.04,12777
3.08,12937
3.12,12893
3.16,12985
3.2,12784
3.24,12961
3.28,12808
3.32,13054
3.36,12865
3.4,12835
3.44,12687
3.48,12910
3.52,12720
3.56,12907
3.6,12795
3.64,13012
3.68,12874
3.72,12856
3.76,12951
3.8,12877
3.84,13009
3.88,12833
3.92,12951
3.96,12833
4.0,12959
4.04,12809
4.08,13005
4.12,12861
4.16,12992
4.2,12692
4.24,12892
4.28,12815
4.32,12912
4.36,12861
4.4,12951
4.44,12940
4.48,12951
4.52,13000
4.56,13034
4.6,12940
4.64,12886
4.68,12944
4.72,12850
4.76,13031
4.8,12749
4.84,13051
4.88,12739
4.92,13156
4.96,12730
5.0,12782
5.04,12629
5.08,12908
5.12,12921
5.16,12939
5.2,12894
5.24,12940
5.28,12959
5.32,13012
5.36,13031
5.4,12898
5.44,13024
5.48,12869
5.52,12992
5.56,12889
5.6,13007
5.64,12834
5.68,12974
5.72,12795
5.76,13170
5.8,12852
5.84,12830
5.88,12842
5.92,12967
5.96,12965
6.0,12996
6.04,12975
6.08,12985
6.12,13056
6.16,12913
6.2,13011
6.24,12714
6.28,12820
6.32,12909
6.36,13055
6.4,12817
6.44,12962
6.48,12852
6.52,13031
6.56,13066
6.6,13026
6.64,12762
6.68,12936
6.72,12932
6.76,13051
6.8,12886
6.84,13043
6.88,13140
6.92,13039
6.96,12890
7.0,12946
7.04,12966
7.08,12922
7.12,12996
7.16,12938
7.2,12991
7.24,12882
7.28,13072
7.32,12922
7.36,12965
7.4,12908
7.44,12944
7.48,12826
7.52,13031
7.56,12943
7.6,13021
7.64,12921
7.68,13066
7.72,12980
7.76,13027
7.8,13027
7.84,12944
7.88,13040
7.92,12937
7.96,12959
8.0,13006
8.04,12932
8.08,12814
8.12,13044
8.16,12926
8.2,13059
8.24,12848
8.28,12996
8.32,12864
8.36,12990
8.4,12909
8.44,13002
8.48,12943
8.52,13107
8.56,12981
8.6,13040
8.64,12974
8.68,13045
8.72,13014
8.76,12991
8.8,13021
8.84,12974
8.88,13036
8.92,12919
8.96,12990
9.0,13072
9.04,13013
9.08,12829
9.12,12983
9.16,12941
9.2,12995
9.24,12986
9.28,12999
9.32,12885
9.36,13069
9.4,13046
9.44,12974
9.48,13009
9.52,13044
9.56,13093
9.6,13014
9.64,13033
9.68,12947
9.72,13128
9.76,12969
9.8,13257
9.84,12926
9.88,12976
9.92,12913
9.96,13025
10.0,13058
10.04,12862
10.08,12928
10.12,12978
10.16,12995
10.2,13002
10.24,12915
10.28,12989
10.32,13064
10.36,10159
10.4,6893
10.44,11201
10.48,13991
