Tiempo (segundos),Presión (mmHg)
0.0,-0.20270270270270271
0.1,-0.13513513513513514
0.2,-0.20270270270270271
0.30000000000000004,-0.13513513513513514
0.4,-0.13513513513513514
0.5,-0.13513513513513514
0.6000000000000001,1.0135135135135136
0.7000000000000001,4.864864864864865
0.8,8.04054054054054
0.9,6.6891891891891895
1.0,6.283783783783784
1.1,12.5
1.2000000000000002,24.7972972972973
1.3,19.93243243243243
1.4000000000000001,18.783783783783782
1.5,18.64864864864865
1.6,38.91891891891892
1.7000000000000002,46.62162162162162
1.8,42.63513513513514
1.9000000000000001,41.148648648648646
2.0,40.0
2.1,61.351351351351354
2.2,91.75675675675676
2.3000000000000003,86.35135135135135
2.4000000000000004,83.71621621621621
2.5,82.63513513513513
2.6,82.77027027027027
2.7,82.02702702702703
2.8000000000000003,106.95945945945945
2.9000000000000004,147.43243243243242
3.0,153.24324324324326
3.1,149.3918918918919
3.2,147.36486486486487
3.3000000000000003,145.94594594594594
3.4000000000000004,144.7972972972973
3.5,167.83783783783784
3.6,204.7972972972973
3.7,210.2027027027027
3.8000000000000003,206.4189189189189
3.9000000000000004,204.1891891891892
4.0,202.63513513513513
4.1000000000000005,201.48648648648648
4.2,200.40540540540542
4.3,199.3918918918919
4.4,198.64864864864865
4.5,197.77027027027026
4.6000000000000005,197.16216216216216
4.7,196.48648648648648
4.800000000000001,195.8783783783784
4.9,195.2027027027027
5.0,194.66216216216216
5.1000000000000005,194.1891891891892
5.2,193.64864864864865
5.300000000000001,193.24324324324326
5.4,192.63513513513513
5.5,192.2972972972973
5.6000000000000005,191.82432432432432
5.7,191.35135135135135
5.800000000000001,191.0810810810811
5.9,190.54054054054055
6.0,190.06756756756758
6.1000000000000005,189.72972972972974
6.2,189.45945945945945
6.300000000000001,189.1891891891892
6.4,188.71621621621622
6.5,188.3783783783784
6.6000000000000005,187.97297297297297
6.7,187.77027027027026
6.800000000000001,187.16216216216216
6.9,187.16216216216216
7.0,186.8918918918919
7.1000000000000005,186.48648648648648
7.2,186.35135135135135
7.300000000000001,185.8108108108108
7.4,185.6081081081081
7.5,185.33783783783784
7.6000000000000005,184.93243243243242
7.7,184.86486486486487
7.800000000000001,184.3918918918919
