Tiempo (segundos),Presión (mmHg)
0.0,0.06756756756756757
0.025,0.0
0.05,0.0
0.07500000000000001,0.06756756756756757
0.1,0.0
0.125,-0.06756756756756757
0.15000000000000002,0.06756756756756757
0.17500000000000002,0.0
0.2,0.0
0.225,0.0
0.25,0.0
0.275,0.0
0.30000000000000004,0.0
0.325,0.0
0.35000000000000003,0.0
0.375,0.06756756756756757
0.4,0.0
0.42500000000000004,0.0
0.45,0.06756756756756757
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.06756756756756757
0.7250000000000001,0.0
0.75,0.20270270270270271
0.775,0.8108108108108109
0.8,1.6891891891891893
0.8250000000000001,2.635135135135135
0.8500000000000001,3.918918918918919
0.875,5.608108108108108
0.9,6.95945945945946
0.925,7.364864864864865
0.9500000000000001,6.756756756756757
0.9750000000000001,6.418918918918919
1.0,6.148648648648648
1.0250000000000001,6.013513513513513
1.05,5.878378378378378
1.075,5.743243243243243
1.1,5.675675675675675
1.125,5.608108108108108
1.1500000000000001,5.54054054054054
1.175,5.472972972972973
1.2000000000000002,5.472972972972973
1.225,6.418918918918919
1.25,8.513513513513514
1.2750000000000001,11.68918918918919
1.3,15.675675675675675
1.3250000000000002,19.527027027027028
1.35,21.89189189189189
1.375,21.95945945945946
1.4000000000000001,20.675675675675677
1.425,20.0
1.4500000000000002,19.527027027027028
1.475,19.054054054054053
1.5,18.783783783783782
1.5250000000000001,18.513513513513512
1.55,18.31081081081081
1.5750000000000002,18.10810810810811
1.6,17.972972972972972
1.625,17.77027027027027
1.6500000000000001,17.635135135135137
1.675,17.5
1.7000000000000002,17.905405405405407
1.725,22.43243243243243
1.75,28.31081081081081
1.7750000000000001,35.2027027027027
1.8,42.16216216216216
1.8250000000000002,47.63513513513514
1.85,50.0
1.875,49.391891891891895
1.9000000000000001,47.432432432432435
1.925,45.945945945945944
1.9500000000000002,45.2027027027027
1.975,43.91891891891892
2.0,43.17567567567568
2.025,42.7027027027027
2.0500000000000003,42.2972972972973
2.075,41.95945945945946
2.1,41.62162162162162
2.125,41.41891891891892
2.15,41.08108108108108
2.1750000000000003,41.013513513513516
2.2,40.810810810810814
2.225,45.33783783783784
2.25,53.37837837837838
2.275,62.9054054054054
2.3000000000000003,72.77027027027027
2.325,81.82432432432432
2.35,87.0945945945946
2.375,88.58108108108108
2.4000000000000004,86.89189189189189
2.4250000000000003,85.33783783783784
2.45,84.32432432432432
2.475,83.44594594594595
2.5,82.77027027027027
2.5250000000000004,81.95945945945945
2.5500000000000003,81.28378378378379
2.575,80.74324324324324
2.6,80.27027027027027
2.625,79.79729729729729
2.6500000000000004,79.45945945945945
2.6750000000000003,79.05405405405405
2.7,78.64864864864865
2.725,78.3108108108108
2.75,83.10810810810811
2.7750000000000004,93.37837837837837
2.8000000000000003,105.13513513513513
2.825,116.75675675675676
2.85,126.95945945945945
